epoch,lr,train_loss,train_loss_clean,train_loss_adv,val_clean_acc,val_robust_fgsm_acc,val_weighted,time_s
1,1.00e-04,1.005199,0.334318,1.658092,0.8924,0.5233,0.7079,32.0
2,1.00e-04,0.669428,0.337682,0.982932,0.8975,0.5303,0.7139,27.2
3,1.00e-04,0.605458,0.322981,0.869664,0.9001,0.5565,0.7283,24.0
4,1.00e-04,0.599025,0.314170,0.865574,0.9046,0.5601,0.7324,24.4
5,1.00e-04,0.577219,0.305669,0.830438,0.9048,0.5581,0.7314,24.7
6,1.00e-04,0.590568,0.309261,0.853544,0.9069,0.5515,0.7292,23.5
7,1.00e-04,0.554983,0.294465,0.797190,0.9093,0.5518,0.7305,25.6
8,1.00e-04,0.584764,0.298856,0.852406,0.9095,0.5553,0.7324,28.2
9,1.00e-04,0.545734,0.291600,0.781624,0.9116,0.5635,0.7375,25.3
10,1.00e-04,0.546638,0.285375,0.789694,0.9104,0.5645,0.7375,26.4
11,1.00e-04,0.556930,0.287500,0.808169,0.9127,0.5661,0.7394,25.4
12,1.00e-04,0.530138,0.280450,0.761669,0.9112,0.5609,0.7360,25.4
13,1.00e-04,0.542812,0.279361,0.788165,0.9050,0.5652,0.7351,27.6
14,1.00e-04,0.521476,0.277541,0.747332,0.9103,0.5686,0.7395,25.0
15,1.00e-04,0.495008,0.265416,0.706562,0.9119,0.5792,0.7455,27.2
16,1.00e-04,0.540159,0.273894,0.788414,0.9143,0.5822,0.7483,27.5
17,1.00e-04,0.498936,0.265200,0.714691,0.9135,0.5868,0.7502,25.4
18,1.00e-04,0.499944,0.261830,0.720082,0.9141,0.5972,0.7556,35.0
19,1.00e-04,0.489837,0.259540,0.702193,0.9156,0.5844,0.7500,28.1
20,1.00e-04,0.491641,0.257535,0.707848,0.9146,0.6036,0.7591,26.9
21,1.00e-04,0.510961,0.261607,0.742436,0.9129,0.6035,0.7582,29.6
22,1.00e-04,0.510895,0.262105,0.741841,0.9159,0.5876,0.7518,36.4
23,1.00e-04,0.504258,0.258252,0.732444,0.9102,0.6032,0.7567,36.7
24,1.00e-04,0.510345,0.257772,0.745132,0.9145,0.6048,0.7596,27.4
25,1.00e-04,0.492179,0.256543,0.710063,0.9149,0.5996,0.7572,27.9
26,1.00e-04,0.481251,0.251781,0.692970,0.9174,0.6132,0.7653,27.7
27,1.00e-04,0.473731,0.248212,0.681528,0.9153,0.6125,0.7639,29.4
28,1.00e-04,0.475593,0.246439,0.687044,0.9141,0.6180,0.7660,23.6
29,1.00e-04,0.471937,0.246088,0.680093,0.9125,0.6124,0.7625,26.3
30,1.00e-04,0.479722,0.246380,0.695398,0.9153,0.6058,0.7605,34.4
