mod,snr,scenario,amc_acc,crc_pass,n
BPSK,0,Clean+Oracle,0.982,1.0,200
BPSK,0,Clean+AMC,0.982,0.97,200
BPSK,0,Adv+Oracle,0.0,1.0,200
BPSK,0,Adv+AMC,0.0,0.005,200
BPSK,18,Clean+Oracle,0.986,1.0,200
BPSK,18,Clean+AMC,0.986,0.985,200
BPSK,18,Adv+Oracle,0.354,1.0,200
BPSK,18,Adv+AMC,0.354,0.39,200
QPSK,0,Clean+Oracle,0.962,0.74,200
QPSK,0,Clean+AMC,0.962,0.715,200
QPSK,0,Adv+Oracle,0.0,0.755,200
QPSK,0,Adv+AMC,0.0,0.0,200
QPSK,18,Clean+Oracle,0.99,1.0,200
QPSK,18,Clean+AMC,0.99,0.99,200
QPSK,18,Adv+Oracle,0.002,1.0,200
QPSK,18,Adv+AMC,0.002,0.015,200
8PSK,0,Clean+Oracle,0.944,0.055,200
8PSK,0,Clean+AMC,0.944,0.055,200
8PSK,0,Adv+Oracle,0.0,0.055,200
8PSK,0,Adv+AMC,0.0,0.005,200
8PSK,18,Clean+Oracle,0.98,1.0,200
8PSK,18,Clean+AMC,0.98,0.99,200
8PSK,18,Adv+Oracle,0.0,1.0,200
8PSK,18,Adv+AMC,0.0,0.005,200
QAM16,0,Clean+Oracle,0.912,0.0,200
QAM16,0,Clean+AMC,0.912,0.0,200
QAM16,0,Adv+Oracle,0.002,0.005,200
QAM16,0,Adv+AMC,0.002,0.005,200
QAM16,18,Clean+Oracle,0.954,1.0,200
QAM16,18,Clean+AMC,0.954,0.93,200
QAM16,18,Adv+Oracle,0.002,0.995,200
QAM16,18,Adv+AMC,0.002,0.005,200
QAM64,0,Clean+Oracle,0.934,0.005,200
QAM64,0,Clean+AMC,0.934,0.005,200
QAM64,0,Adv+Oracle,0.002,0.02,200
QAM64,0,Adv+AMC,0.002,0.0,200
QAM64,18,Clean+Oracle,0.946,0.96,200
QAM64,18,Clean+AMC,0.946,0.905,200
QAM64,18,Adv+Oracle,0.004,0.76,200
QAM64,18,Adv+AMC,0.004,0.005,200
PAM4,0,Clean+Oracle,0.988,0.26,200
PAM4,0,Clean+AMC,0.988,0.25,200
PAM4,0,Adv+Oracle,0.014,0.075,200
PAM4,0,Adv+AMC,0.014,0.005,200
PAM4,18,Clean+Oracle,0.992,1.0,200
PAM4,18,Clean+AMC,0.992,0.99,200
PAM4,18,Adv+Oracle,0.018,0.71,200
PAM4,18,Adv+AMC,0.018,0.02,200
CPFSK,0,Clean+Oracle,1.0,0.095,200
CPFSK,0,Clean+AMC,1.0,0.095,200
CPFSK,0,Adv+Oracle,0.01,0.095,200
CPFSK,0,Adv+AMC,0.01,0.01,200
CPFSK,18,Clean+Oracle,1.0,1.0,200
CPFSK,18,Clean+AMC,1.0,1.0,200
CPFSK,18,Adv+Oracle,0.18,1.0,200
CPFSK,18,Adv+AMC,0.18,0.185,200
GFSK,0,Clean+Oracle,0.98,0.07,200
GFSK,0,Clean+AMC,0.98,0.065,200
GFSK,0,Adv+Oracle,0.156,0.07,200
GFSK,0,Adv+AMC,0.156,0.005,200
GFSK,18,Clean+Oracle,1.0,0.995,200
GFSK,18,Clean+AMC,1.0,0.995,200
GFSK,18,Adv+Oracle,0.0,0.995,200
GFSK,18,Adv+AMC,0.0,0.0,200
WBFM,0,Clean+Oracle,0.348,None,0
WBFM,0,Clean+AMC,0.348,None,0
WBFM,0,Adv+Oracle,0.12,None,0
WBFM,0,Adv+AMC,0.12,None,0
WBFM,18,Clean+Oracle,0.37,None,0
WBFM,18,Clean+AMC,0.37,None,0
WBFM,18,Adv+Oracle,0.156,None,0
WBFM,18,Adv+AMC,0.156,None,0
AM-DSB,0,Clean+Oracle,0.932,None,0
AM-DSB,0,Clean+AMC,0.932,None,0
AM-DSB,0,Adv+Oracle,0.116,None,0
AM-DSB,0,Adv+AMC,0.116,None,0
AM-DSB,18,Clean+Oracle,1.0,None,0
AM-DSB,18,Clean+AMC,1.0,None,0
AM-DSB,18,Adv+Oracle,0.768,None,0
AM-DSB,18,Adv+AMC,0.768,None,0
AM-SSB,0,Clean+Oracle,0.92,None,0
AM-SSB,0,Clean+AMC,0.92,None,0
AM-SSB,0,Adv+Oracle,0.002,None,0
AM-SSB,0,Adv+AMC,0.002,None,0
AM-SSB,18,Clean+Oracle,0.938,None,0
AM-SSB,18,Clean+AMC,0.938,None,0
AM-SSB,18,Adv+Oracle,0.002,None,0
AM-SSB,18,Adv+AMC,0.002,None,0
