# env: torch=2.9.0+cu130 cuda=13.0 gpu=NVIDIA GeForce RTX 5060 Ti cpu='x86_64' cores=6
attack,device,batch_size,n_samples,n_reps,mean_ms_per_sample,std_ms_per_sample,total_seconds
fgsm,cpu,128,64,2,0.175800,0.002057,0.022502
pgd,cpu,128,64,2,2.073328,0.149369,0.265386
cw,cpu,128,64,2,5.697584,0.005392,0.729291
eadl1,cpu,128,64,2,95.937891,15.755771,12.280050
eaden,cpu,128,64,2,146.110225,5.033362,18.702109
fgsm,cuda,128,64,2,0.084321,0.001421,0.010793
pgd,cuda,128,64,2,0.753343,0.000877,0.096428
cw,cuda,128,64,2,2.269095,0.012736,0.290444
eadl1,cuda,128,64,2,26.243727,1.262214,3.359197
eaden,cuda,128,64,2,25.452042,0.106829,3.257861
