attack,param_name,param_value,defense,accuracy
cw,c,0.01,adaptive_k,0.8174090909090909
cw,c,0.01,adaptive_k_v2_snr,0.8376363636363636
cw,c,0.01,fir,0.7527727272727273
cw,c,0.01,gaussian,0.797409090909091
cw,c,0.01,kalman,0.7920909090909091
cw,c,0.01,no_defense,0.7207272727272728
cw,c,0.01,rand_smooth,0.25222727272727274
cw,c,0.01,savitzky_golay,0.7631363636363636
cw,c,0.01,spectral_gated,0.8241818181818181
cw,c,0.01,wiener,0.7582272727272727
cw,c,0.1,adaptive_k,0.7011818181818181
cw,c,0.1,adaptive_k_v2_snr,0.7637727272727273
cw,c,0.1,fir,0.703590909090909
cw,c,0.1,gaussian,0.7119090909090909
cw,c,0.1,kalman,0.7361818181818182
cw,c,0.1,no_defense,0.4786818181818182
cw,c,0.1,rand_smooth,0.2515
cw,c,0.1,savitzky_golay,0.6957727272727273
cw,c,0.1,spectral_gated,0.7414090909090909
cw,c,0.1,wiener,0.6938181818181818
cw,c,1.0,adaptive_k,0.702
cw,c,1.0,adaptive_k_v2_snr,0.7649545454545454
cw,c,1.0,fir,0.6976818181818182
cw,c,1.0,gaussian,0.7143181818181819
cw,c,1.0,kalman,0.7371818181818182
cw,c,1.0,no_defense,0.42113636363636364
cw,c,1.0,rand_smooth,0.25127272727272726
cw,c,1.0,savitzky_golay,0.6865909090909091
cw,c,1.0,spectral_gated,0.7518181818181818
cw,c,1.0,wiener,0.6945
cw,c,10.0,adaptive_k,0.7009545454545455
cw,c,10.0,adaptive_k_v2_snr,0.7636818181818181
cw,c,10.0,fir,0.6965
cw,c,10.0,gaussian,0.7130909090909091
cw,c,10.0,kalman,0.7353636363636363
cw,c,10.0,no_defense,0.41654545454545455
cw,c,10.0,rand_smooth,0.25036363636363634
cw,c,10.0,savitzky_golay,0.6855909090909091
cw,c,10.0,spectral_gated,0.7510909090909091
cw,c,10.0,wiener,0.6934545454545454
eaden,c,0.01,adaptive_k,0.6769090909090909
eaden,c,0.01,adaptive_k_v2_snr,0.7438181818181818
eaden,c,0.01,fir,0.6554545454545454
eaden,c,0.01,gaussian,0.6653636363636364
eaden,c,0.01,kalman,0.6921818181818182
eaden,c,0.01,no_defense,0.042954545454545454
eaden,c,0.01,rand_smooth,0.25004545454545457
eaden,c,0.01,savitzky_golay,0.6448181818181818
eaden,c,0.01,spectral_gated,0.7310454545454546
eaden,c,0.01,wiener,0.6522272727272728
eaden,c,0.1,adaptive_k,0.6712727272727272
eaden,c,0.1,adaptive_k_v2_snr,0.7379545454545454
eaden,c,0.1,fir,0.6506363636363637
eaden,c,0.1,gaussian,0.6581818181818182
eaden,c,0.1,kalman,0.6877272727272727
eaden,c,0.1,no_defense,0.04240909090909091
eaden,c,0.1,rand_smooth,0.25031818181818183
eaden,c,0.1,savitzky_golay,0.6404090909090909
eaden,c,0.1,spectral_gated,0.7227272727272728
eaden,c,0.1,wiener,0.6448181818181818
eaden,c,1.0,adaptive_k,0.5634545454545454
eaden,c,1.0,adaptive_k_v2_snr,0.6139545454545454
eaden,c,1.0,fir,0.5536363636363636
eaden,c,1.0,gaussian,0.5488636363636363
eaden,c,1.0,kalman,0.5718181818181818
eaden,c,1.0,no_defense,0.042
eaden,c,1.0,rand_smooth,0.2505
eaden,c,1.0,savitzky_golay,0.5401818181818182
eaden,c,1.0,spectral_gated,0.5985
eaden,c,1.0,wiener,0.5347727272727273
eaden,c,10.0,adaptive_k,0.23863636363636365
eaden,c,10.0,adaptive_k_v2_snr,0.3291363636363636
eaden,c,10.0,fir,0.3023181818181818
eaden,c,10.0,gaussian,0.2807272727272727
eaden,c,10.0,kalman,0.2985
eaden,c,10.0,no_defense,0.010045454545454545
eaden,c,10.0,rand_smooth,0.2416818181818182
eaden,c,10.0,savitzky_golay,0.3049545454545455
eaden,c,10.0,spectral_gated,0.2978636363636364
eaden,c,10.0,wiener,0.3029545454545455
eadl1,c,0.01,adaptive_k,0.7038636363636364
eadl1,c,0.01,adaptive_k_v2_snr,0.7700454545454546
eadl1,c,0.01,fir,0.6618636363636363
eadl1,c,0.01,gaussian,0.6910909090909091
eadl1,c,0.01,kalman,0.7072272727272727
eadl1,c,0.01,no_defense,0.06872727272727273
eadl1,c,0.01,rand_smooth,0.24963636363636363
eadl1,c,0.01,savitzky_golay,0.6518181818181819
eadl1,c,0.01,spectral_gated,0.7761818181818182
eadl1,c,0.01,wiener,0.6641818181818182
eadl1,c,0.1,adaptive_k,0.6970909090909091
eadl1,c,0.1,adaptive_k_v2_snr,0.7601363636363636
eadl1,c,0.1,fir,0.6565454545454545
eadl1,c,0.1,gaussian,0.6825454545454546
eadl1,c,0.1,kalman,0.7015454545454546
eadl1,c,0.1,no_defense,0.07104545454545455
eadl1,c,0.1,rand_smooth,0.25004545454545457
eadl1,c,0.1,savitzky_golay,0.6476363636363637
eadl1,c,0.1,spectral_gated,0.7629545454545454
eadl1,c,0.1,wiener,0.6559545454545455
eadl1,c,1.0,adaptive_k,0.5694545454545454
eadl1,c,1.0,adaptive_k_v2_snr,0.6262727272727273
eadl1,c,1.0,fir,0.5551818181818182
eadl1,c,1.0,gaussian,0.5531818181818182
eadl1,c,1.0,kalman,0.5755454545454546
eadl1,c,1.0,no_defense,0.04990909090909091
eadl1,c,1.0,rand_smooth,0.24922727272727271
eadl1,c,1.0,savitzky_golay,0.5429545454545455
eadl1,c,1.0,spectral_gated,0.6142727272727273
eadl1,c,1.0,wiener,0.5377272727272727
eadl1,c,10.0,adaptive_k,0.2521818181818182
eadl1,c,10.0,adaptive_k_v2_snr,0.3361363636363636
eadl1,c,10.0,fir,0.3059090909090909
eadl1,c,10.0,gaussian,0.2896818181818182
eadl1,c,10.0,kalman,0.3075
eadl1,c,10.0,no_defense,0.011681818181818182
eadl1,c,10.0,rand_smooth,0.24277272727272728
eadl1,c,10.0,savitzky_golay,0.3084090909090909
eadl1,c,10.0,spectral_gated,0.31118181818181817
eadl1,c,10.0,wiener,0.30963636363636365
fgsm,eps,0.01,adaptive_k,0.7734545454545455
fgsm,eps,0.01,adaptive_k_v2_snr,0.7789090909090909
fgsm,eps,0.01,fir,0.7104090909090909
fgsm,eps,0.01,gaussian,0.7552272727272727
fgsm,eps,0.01,kalman,0.7516818181818182
fgsm,eps,0.01,no_defense,0.7590454545454546
fgsm,eps,0.01,rand_smooth,0.2516818181818182
fgsm,eps,0.01,savitzky_golay,0.7268181818181818
fgsm,eps,0.01,spectral_gated,0.7712272727272728
fgsm,eps,0.01,wiener,0.7176363636363636
fgsm,eps,0.03,adaptive_k,0.5934545454545455
fgsm,eps,0.03,adaptive_k_v2_snr,0.5982727272727273
fgsm,eps,0.03,fir,0.5583636363636364
fgsm,eps,0.03,gaussian,0.5662727272727273
fgsm,eps,0.03,kalman,0.5730909090909091
fgsm,eps,0.03,no_defense,0.5682727272727273
fgsm,eps,0.03,rand_smooth,0.25045454545454543
fgsm,eps,0.03,savitzky_golay,0.5553181818181818
fgsm,eps,0.03,spectral_gated,0.5787272727272728
fgsm,eps,0.03,wiener,0.5575
fgsm,eps,0.05,adaptive_k,0.4728636363636364
fgsm,eps,0.05,adaptive_k_v2_snr,0.4769090909090909
fgsm,eps,0.05,fir,0.45027272727272727
fgsm,eps,0.05,gaussian,0.4470909090909091
fgsm,eps,0.05,kalman,0.4552272727272727
fgsm,eps,0.05,no_defense,0.4515
fgsm,eps,0.05,rand_smooth,0.24727272727272728
fgsm,eps,0.05,savitzky_golay,0.44486363636363635
fgsm,eps,0.05,spectral_gated,0.45790909090909093
fgsm,eps,0.05,wiener,0.45590909090909093
fgsm,eps,0.1,adaptive_k,0.3492727272727273
