attack,param_name,param_value,snr,defense,accuracy,n_samples
fgsm,eps,0.01,0,no_defense,0.6359090909090909,2200
fgsm,eps,0.01,0,adaptive_k_v2_snr,0.6972727272727273,2200
fgsm,eps,0.01,0,adaptive_k,0.66,2200
fgsm,eps,0.01,0,spectral_gated,0.6809090909090909,2200
fgsm,eps,0.01,0,kalman,0.6559090909090909,2200
fgsm,eps,0.01,0,wiener,0.5895454545454546,2200
fgsm,eps,0.01,0,savitzky_golay,0.6836363636363636,2200
fgsm,eps,0.01,0,gaussian,0.6763636363636364,2200
fgsm,eps,0.01,0,fir,0.4940909090909091,2200
fgsm,eps,0.01,0,rand_smooth,0.2359090909090909,2200
fgsm,eps,0.01,2,no_defense,0.72,2200
fgsm,eps,0.01,2,adaptive_k_v2_snr,0.7563636363636363,2200
fgsm,eps,0.01,2,adaptive_k,0.7527272727272727,2200
fgsm,eps,0.01,2,spectral_gated,0.7472727272727273,2200
fgsm,eps,0.01,2,kalman,0.6954545454545454,2200
fgsm,eps,0.01,2,wiener,0.6868181818181818,2200
fgsm,eps,0.01,2,savitzky_golay,0.6631818181818182,2200
fgsm,eps,0.01,2,gaussian,0.6818181818181818,2200
fgsm,eps,0.01,2,fir,0.6804545454545454,2200
fgsm,eps,0.01,2,rand_smooth,0.25045454545454543,2200
fgsm,eps,0.01,4,no_defense,0.7431818181818182,2200
fgsm,eps,0.01,4,adaptive_k_v2_snr,0.769090909090909,2200
fgsm,eps,0.01,4,adaptive_k,0.7627272727272727,2200
fgsm,eps,0.01,4,spectral_gated,0.7622727272727273,2200
fgsm,eps,0.01,4,kalman,0.7377272727272727,2200
fgsm,eps,0.01,4,wiener,0.7095454545454546,2200
fgsm,eps,0.01,4,savitzky_golay,0.7077272727272728,2200
fgsm,eps,0.01,4,gaussian,0.7104545454545454,2200
fgsm,eps,0.01,4,fir,0.7159090909090909,2200
fgsm,eps,0.01,4,rand_smooth,0.24863636363636363,2200
fgsm,eps,0.01,6,no_defense,0.7704545454545455,2200
fgsm,eps,0.01,6,adaptive_k_v2_snr,0.7881818181818182,2200
fgsm,eps,0.01,6,adaptive_k,0.7854545454545454,2200
fgsm,eps,0.01,6,spectral_gated,0.7777272727272727,2200
fgsm,eps,0.01,6,kalman,0.7509090909090909,2200
fgsm,eps,0.01,6,wiener,0.73,2200
fgsm,eps,0.01,6,savitzky_golay,0.735909090909091,2200
fgsm,eps,0.01,6,gaussian,0.7290909090909091,2200
fgsm,eps,0.01,6,fir,0.7209090909090909,2200
fgsm,eps,0.01,6,rand_smooth,0.25363636363636366,2200
fgsm,eps,0.01,8,no_defense,0.7686363636363637,2200
fgsm,eps,0.01,8,adaptive_k_v2_snr,0.7795454545454545,2200
fgsm,eps,0.01,8,adaptive_k,0.7804545454545454,2200
fgsm,eps,0.01,8,spectral_gated,0.7713636363636364,2200
fgsm,eps,0.01,8,kalman,0.7440909090909091,2200
fgsm,eps,0.01,8,wiener,0.7272727272727273,2200
fgsm,eps,0.01,8,savitzky_golay,0.7363636363636363,2200
fgsm,eps,0.01,8,gaussian,0.7304545454545455,2200
fgsm,eps,0.01,8,fir,0.7354545454545455,2200
fgsm,eps,0.01,8,rand_smooth,0.24454545454545454,2200
