attack,snr,condition,accuracy,n_samples
cw,0,before,0.7691,2200
cw,0,after,0.7527,2200
cw,10,before,0.7873,2200
cw,10,after,0.7986,2200
cw,18,before,0.75,2200
cw,18,after,0.7668,2200
eadl1,0,before,0.6023,2200
eadl1,0,after,0.7018,2200
eadl1,10,before,0.7227,2200
eadl1,10,after,0.7768,2200
eadl1,18,before,0.6836,2200
eadl1,18,after,0.7477,2200
eaden,0,before,0.5155,2200
eaden,0,after,0.6668,2200
eaden,10,before,0.6691,2200
eaden,10,after,0.745,2200
eaden,18,before,0.6505,2200
eaden,18,after,0.7314,2200
