true\pred,QAM16,QAM64,8PSK,WBFM,BPSK,CPFSK,AM-DSB,GFSK,PAM4,QPSK,AM-SSB
QAM16,23.00,74.50,1.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00
QAM64,7.00,89.50,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50
8PSK,3.50,1.00,68.00,0.00,0.50,2.00,0.00,0.00,0.00,23.00,2.00
WBFM,0.00,0.00,0.00,23.00,0.00,0.00,74.50,2.50,0.00,0.00,0.00
BPSK,0.00,0.00,0.00,0.00,98.50,0.00,0.00,0.00,1.50,0.00,0.00
CPFSK,0.00,0.00,2.00,0.00,0.00,97.00,0.00,1.00,0.00,0.00,0.00
AM-DSB,0.00,0.00,0.00,6.50,0.00,0.00,93.50,0.00,0.00,0.00,0.00
GFSK,0.00,0.00,0.00,19.50,0.00,0.00,0.00,80.50,0.00,0.00,0.00
PAM4,0.00,0.00,0.00,0.00,7.50,0.00,0.00,0.00,92.00,0.00,0.50
QPSK,2.00,0.00,11.00,0.00,0.50,1.50,0.00,0.00,0.00,84.00,1.00
AM-SSB,0.00,0.00,0.00,0.50,0.00,0.00,2.50,0.00,0.00,0.00,97.00
