true\pred,QAM16,QAM64,8PSK,WBFM,BPSK,CPFSK,AM-DSB,GFSK,PAM4,QPSK,AM-SSB
QAM16,55.50,38.00,5.50,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50
QAM64,67.50,20.00,7.00,0.00,0.00,0.00,0.00,0.00,2.00,2.00,1.50
8PSK,0.00,2.00,81.50,0.00,0.00,1.50,0.00,0.00,0.00,15.00,0.00
WBFM,0.00,0.00,0.00,31.50,0.00,0.00,64.50,4.00,0.00,0.00,0.00
BPSK,0.00,0.00,0.00,0.00,94.50,0.00,1.00,0.00,3.50,0.50,0.50
CPFSK,0.00,0.00,0.00,0.00,0.00,99.00,0.00,0.00,0.00,1.00,0.00
AM-DSB,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00
GFSK,0.00,0.00,0.00,10.50,0.00,0.00,0.00,89.50,0.00,0.00,0.00
PAM4,0.50,0.00,0.00,0.00,18.00,0.00,0.00,0.00,80.50,0.50,0.50
QPSK,0.00,0.00,1.50,0.00,0.50,0.00,0.00,0.00,0.00,96.50,1.50
AM-SSB,3.50,0.00,10.00,0.50,0.50,8.00,3.00,3.00,12.00,0.50,59.00
