true\pred,QAM16,QAM64,8PSK,WBFM,BPSK,CPFSK,AM-DSB,GFSK,PAM4,QPSK,AM-SSB
QAM16,77.50,15.50,3.50,0.00,0.00,0.50,0.00,0.00,0.50,1.00,1.50
QAM64,61.00,32.50,3.50,0.00,0.00,0.00,0.00,0.00,0.50,1.00,1.50
8PSK,0.00,0.00,86.00,0.00,0.00,1.00,0.00,0.00,0.00,12.50,0.50
WBFM,0.00,0.00,0.00,25.50,0.00,0.00,69.50,5.00,0.00,0.00,0.00
BPSK,0.00,0.00,0.00,0.00,98.50,0.00,0.00,0.00,1.00,0.50,0.00
CPFSK,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
AM-DSB,0.00,0.00,0.00,18.00,0.00,0.00,82.00,0.00,0.00,0.00,0.00
GFSK,0.00,0.00,0.00,20.50,0.00,1.00,0.00,78.50,0.00,0.00,0.00
PAM4,0.00,0.00,0.50,0.00,21.00,0.00,0.00,0.50,78.00,0.00,0.00
QPSK,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.00,0.00,98.00,1.00
AM-SSB,1.50,0.00,4.50,3.00,0.00,6.50,3.50,4.50,15.00,1.00,60.50
