true\pred,QAM16,QAM64,8PSK,WBFM,BPSK,CPFSK,AM-DSB,GFSK,PAM4,QPSK,AM-SSB
QAM16,68.50,26.50,4.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50
QAM64,76.00,14.50,5.50,0.00,0.00,0.00,0.00,0.00,1.00,1.50,1.50
8PSK,0.00,1.50,86.50,0.00,0.00,2.00,0.00,0.00,0.00,10.00,0.00
WBFM,0.00,0.00,0.00,19.50,0.00,0.00,74.50,6.00,0.00,0.00,0.00
BPSK,0.00,0.00,0.50,0.50,95.00,0.00,0.00,0.00,1.00,2.50,0.50
CPFSK,0.00,0.00,0.00,0.00,0.00,99.50,0.00,0.00,0.00,0.50,0.00
AM-DSB,0.00,0.00,0.00,21.50,0.00,0.00,78.50,0.00,0.00,0.00,0.00
GFSK,0.00,0.00,0.00,16.00,0.00,0.50,0.00,83.50,0.00,0.00,0.00
PAM4,0.00,0.00,0.00,0.00,33.50,0.00,0.00,0.00,66.00,0.00,0.50
QPSK,0.50,0.00,1.00,0.00,0.50,0.50,0.00,0.00,0.00,96.00,1.50
AM-SSB,2.00,0.50,37.50,3.50,10.50,3.00,0.50,4.00,21.50,9.00,8.00
