true\pred,QAM16,QAM64,8PSK,WBFM,BPSK,CPFSK,AM-DSB,GFSK,PAM4,QPSK,AM-SSB
QAM16,14.00,83.50,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,1.00
QAM64,4.00,93.00,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.50
8PSK,10.50,7.00,56.50,0.00,1.50,0.50,0.00,0.00,0.00,22.00,2.00
WBFM,0.00,0.00,0.00,19.00,0.00,0.00,77.50,3.50,0.00,0.00,0.00
BPSK,0.00,0.00,0.50,0.00,74.00,0.00,0.50,0.00,25.00,0.00,0.00
CPFSK,0.00,0.00,25.50,1.50,0.00,59.00,0.00,5.00,0.00,9.00,0.00
AM-DSB,0.00,0.00,0.00,38.00,0.00,0.00,61.50,0.50,0.00,0.00,0.00
GFSK,0.00,0.00,1.00,32.50,0.00,0.00,0.50,65.50,0.00,0.50,0.00
PAM4,0.50,1.50,0.00,0.00,28.50,0.00,0.50,0.00,68.50,0.00,0.50
QPSK,5.00,0.00,37.00,0.00,1.00,1.50,0.00,0.00,0.00,54.50,1.00
AM-SSB,0.00,0.00,0.00,0.50,0.00,0.00,2.50,0.00,0.00,0.00,97.00
