true\pred,QAM16,QAM64,8PSK,WBFM,BPSK,CPFSK,AM-DSB,GFSK,PAM4,QPSK,AM-SSB
QAM16,77.50,15.50,3.50,0.00,0.00,0.50,0.00,0.00,0.50,1.00,1.50
QAM64,53.00,40.50,3.50,0.00,0.00,0.00,0.00,0.00,0.50,1.00,1.50
8PSK,0.00,0.00,88.50,0.00,0.00,0.50,0.00,0.00,0.00,10.50,0.50
WBFM,0.00,0.00,0.00,30.00,0.00,0.00,66.50,3.50,0.00,0.00,0.00
BPSK,0.00,0.00,0.00,0.00,96.50,0.00,0.00,0.00,1.50,2.00,0.00
CPFSK,0.00,0.00,0.00,0.00,0.00,100.00,0.00,0.00,0.00,0.00,0.00
AM-DSB,0.00,0.00,0.00,22.00,0.00,0.00,78.00,0.00,0.00,0.00,0.00
GFSK,0.00,0.00,0.00,13.00,0.00,0.50,0.00,86.50,0.00,0.00,0.00
PAM4,0.00,0.50,0.50,0.00,15.50,0.00,0.00,0.00,83.00,0.00,0.50
QPSK,0.00,0.00,0.00,0.00,0.50,0.50,0.00,0.00,0.00,98.00,1.00
AM-SSB,0.50,0.00,6.00,2.50,0.00,6.00,3.50,3.50,17.00,1.00,60.00
