attack,snr,defense,accuracy,n_samples
cw,0,no_defense,0.17727272727272728,2200
cw,0,adaptive_k_v2_snr,0.5645454545454546,2200
cw,0,adaptive_k,0.45681818181818185,2200
cw,0,spectral_gated,0.5890909090909091,2200
cw,0,kalman,0.45181818181818184,2200
cw,0,wiener,0.4127272727272727,2200
cw,0,savitzky_golay,0.43272727272727274,2200
cw,0,gaussian,0.4440909090909091,2200
cw,0,fir,0.4022727272727273,2200
cw,0,rand_smooth,0.3059090909090909,2200
cw,2,no_defense,0.225,2200
cw,2,adaptive_k_v2_snr,0.6154545454545455,2200
cw,2,adaptive_k,0.5581818181818182,2200
cw,2,spectral_gated,0.6090909090909091,2200
cw,2,kalman,0.5218181818181818,2200
cw,2,wiener,0.49818181818181817,2200
cw,2,savitzky_golay,0.4909090909090909,2200
cw,2,gaussian,0.48954545454545456,2200
cw,2,fir,0.5081818181818182,2200
cw,2,rand_smooth,0.33181818181818185,2200
cw,4,no_defense,0.27454545454545454,2200
cw,4,adaptive_k_v2_snr,0.6718181818181819,2200
cw,4,adaptive_k,0.645,2200
cw,4,spectral_gated,0.65,2200
cw,4,kalman,0.5840909090909091,2200
cw,4,wiener,0.55,2200
cw,4,savitzky_golay,0.5468181818181819,2200
cw,4,gaussian,0.5395454545454546,2200
cw,4,fir,0.5795454545454546,2200
cw,4,rand_smooth,0.31227272727272726,2200
cw,6,no_defense,0.32227272727272727,2200
cw,6,adaptive_k_v2_snr,0.7095454545454546,2200
cw,6,adaptive_k,0.6786363636363636,2200
cw,6,spectral_gated,0.6754545454545454,2200
cw,6,kalman,0.6368181818181818,2200
cw,6,wiener,0.6004545454545455,2200
cw,6,savitzky_golay,0.5818181818181818,2200
cw,6,gaussian,0.5868181818181818,2200
cw,6,fir,0.5677272727272727,2200
cw,6,rand_smooth,0.32136363636363635,2200
cw,8,no_defense,0.35363636363636364,2200
cw,8,adaptive_k_v2_snr,0.7313636363636363,2200
cw,8,adaptive_k,0.6886363636363636,2200
cw,8,spectral_gated,0.6813636363636364,2200
cw,8,kalman,0.6413636363636364,2200
cw,8,wiener,0.6431818181818182,2200
cw,8,savitzky_golay,0.6140909090909091,2200
cw,8,gaussian,0.6222727272727273,2200
cw,8,fir,0.6613636363636364,2200
cw,8,rand_smooth,0.3104545454545454,2200
cw,10,no_defense,0.41454545454545455,2200
cw,10,adaptive_k_v2_snr,0.77,2200
cw,10,adaptive_k,0.7254545454545455,2200
cw,10,spectral_gated,0.7290909090909091,2200
cw,10,kalman,0.7290909090909091,2200
cw,10,wiener,0.6886363636363636,2200
cw,10,savitzky_golay,0.6631818181818182,2200
cw,10,gaussian,0.6518181818181819,2200
cw,10,fir,0.6859090909090909,2200
cw,10,rand_smooth,0.3290909090909091,2200
cw,12,no_defense,0.4359090909090909,2200
cw,12,adaptive_k_v2_snr,0.7604545454545455,2200
cw,12,adaptive_k,0.7159090909090909,2200
cw,12,spectral_gated,0.7281818181818182,2200
cw,12,kalman,0.7340909090909091,2200
cw,12,wiener,0.6886363636363636,2200
cw,12,savitzky_golay,0.6727272727272727,2200
cw,12,gaussian,0.6831818181818182,2200
cw,12,fir,0.6481818181818182,2200
cw,12,rand_smooth,0.33,2200
cw,14,no_defense,0.4381818181818182,2200
cw,14,adaptive_k_v2_snr,0.7631818181818182,2200
cw,14,adaptive_k,0.7213636363636363,2200
cw,14,spectral_gated,0.73,2200
cw,14,kalman,0.7177272727272728,2200
cw,14,wiener,0.6863636363636364,2200
cw,14,savitzky_golay,0.6631818181818182,2200
cw,14,gaussian,0.6590909090909091,2200
cw,14,fir,0.7381818181818182,2200
cw,14,rand_smooth,0.31136363636363634,2200
cw,16,no_defense,0.45181818181818184,2200
cw,16,adaptive_k_v2_snr,0.7759090909090909,2200
cw,16,adaptive_k,0.745,2200
cw,16,spectral_gated,0.7422727272727273,2200
cw,16,kalman,0.765,2200
cw,16,wiener,0.7,2200
cw,16,savitzky_golay,0.6822727272727273,2200
cw,16,gaussian,0.6763636363636364,2200
cw,16,fir,0.7063636363636364,2200
cw,16,rand_smooth,0.3277272727272727,2200
cw,18,no_defense,0.44681818181818184,2200
cw,18,adaptive_k_v2_snr,0.7718181818181818,2200
cw,18,adaptive_k,0.7277272727272728,2200
cw,18,spectral_gated,0.7345454545454545,2200
cw,18,kalman,0.735909090909091,2200
cw,18,wiener,0.6877272727272727,2200
cw,18,savitzky_golay,0.6790909090909091,2200
cw,18,gaussian,0.6786363636363636,2200
cw,18,fir,0.7018181818181818,2200
cw,18,rand_smooth,0.3277272727272727,2200
eadl1,0,no_defense,0.08363636363636363,2200
eadl1,0,adaptive_k_v2_snr,0.5854545454545454,2200
eadl1,0,adaptive_k,0.5104545454545455,2200
eadl1,0,spectral_gated,0.6227272727272727,2200
eadl1,0,kalman,0.4354545454545454,2200
eadl1,0,wiener,0.39181818181818184,2200
eadl1,0,savitzky_golay,0.4113636363636364,2200
eadl1,0,gaussian,0.42318181818181816,2200
eadl1,0,fir,0.37636363636363634,2200
eadl1,0,rand_smooth,0.31,2200
eadl1,2,no_defense,0.06954545454545455,2200
eadl1,2,adaptive_k_v2_snr,0.6295454545454545,2200
eadl1,2,adaptive_k,0.6027272727272728,2200
eadl1,2,spectral_gated,0.649090909090909,2200
eadl1,2,kalman,0.49318181818181817,2200
eadl1,2,wiener,0.48045454545454547,2200
eadl1,2,savitzky_golay,0.4581818181818182,2200
eadl1,2,gaussian,0.47454545454545455,2200
eadl1,2,fir,0.48727272727272725,2200
eadl1,2,rand_smooth,0.32136363636363635,2200
eadl1,4,no_defense,0.065,2200
eadl1,4,adaptive_k_v2_snr,0.6754545454545454,2200
eadl1,4,adaptive_k,0.6481818181818182,2200
eadl1,4,spectral_gated,0.6681818181818182,2200
eadl1,4,kalman,0.5731818181818182,2200
eadl1,4,wiener,0.5322727272727272,2200
eadl1,4,savitzky_golay,0.5231818181818182,2200
eadl1,4,gaussian,0.5245454545454545,2200
eadl1,4,fir,0.5504545454545454,2200
eadl1,4,rand_smooth,0.31,2200
eadl1,6,no_defense,0.045454545454545456,2200
eadl1,6,adaptive_k_v2_snr,0.7204545454545455,2200
eadl1,6,adaptive_k,0.6790909090909091,2200
eadl1,6,spectral_gated,0.6968181818181818,2200
eadl1,6,kalman,0.6172727272727273,2200
eadl1,6,wiener,0.595,2200
eadl1,6,savitzky_golay,0.5636363636363636,2200
eadl1,6,gaussian,0.5740909090909091,2200
eadl1,6,fir,0.5281818181818182,2200
eadl1,6,rand_smooth,0.325,2200
eadl1,8,no_defense,0.06181818181818182,2200
eadl1,8,adaptive_k_v2_snr,0.7190909090909091,2200
eadl1,8,adaptive_k,0.6709090909090909,2200
eadl1,8,spectral_gated,0.6940909090909091,2200
eadl1,8,kalman,0.6163636363636363,2200
eadl1,8,wiener,0.6190909090909091,2200
eadl1,8,savitzky_golay,0.5795454545454546,2200
eadl1,8,gaussian,0.5845454545454546,2200
eadl1,8,fir,0.6327272727272727,2200
eadl1,8,rand_smooth,0.30863636363636365,2200
eadl1,10,no_defense,0.06954545454545455,2200
eadl1,10,adaptive_k_v2_snr,0.7490909090909091,2200
eadl1,10,adaptive_k,0.6990909090909091,2200
eadl1,10,spectral_gated,0.7281818181818182,2200
eadl1,10,kalman,0.685,2200
eadl1,10,wiener,0.66,2200
eadl1,10,savitzky_golay,0.6154545454545455,2200
eadl1,10,gaussian,0.5963636363636363,2200
eadl1,10,fir,0.6172727272727273,2200
eadl1,10,rand_smooth,0.32136363636363635,2200
eadl1,12,no_defense,0.06454545454545454,2200
eadl1,12,adaptive_k_v2_snr,0.7459090909090909,2200
eadl1,12,adaptive_k,0.6904545454545454,2200
eadl1,12,spectral_gated,0.730909090909091,2200
eadl1,12,kalman,0.6854545454545454,2200
eadl1,12,wiener,0.6572727272727272,2200
eadl1,12,savitzky_golay,0.6286363636363637,2200
eadl1,12,gaussian,0.6431818181818182,2200
eadl1,12,fir,0.5877272727272728,2200
eadl1,12,rand_smooth,0.31681818181818183,2200
eadl1,14,no_defense,0.05954545454545455,2200
eadl1,14,adaptive_k_v2_snr,0.7413636363636363,2200
eadl1,14,adaptive_k,0.6986363636363636,2200
eadl1,14,spectral_gated,0.7345454545454545,2200
eadl1,14,kalman,0.6895454545454546,2200
eadl1,14,wiener,0.6527272727272727,2200
eadl1,14,savitzky_golay,0.6290909090909091,2200
eadl1,14,gaussian,0.6477272727272727,2200
eadl1,14,fir,0.7113636363636363,2200
eadl1,14,rand_smooth,0.30454545454545456,2200
eadl1,16,no_defense,0.0659090909090909,2200
eadl1,16,adaptive_k_v2_snr,0.7586363636363637,2200
eadl1,16,adaptive_k,0.7140909090909091,2200
eadl1,16,spectral_gated,0.7440909090909091,2200
eadl1,16,kalman,0.7245454545454545,2200
eadl1,16,wiener,0.6654545454545454,2200
eadl1,16,savitzky_golay,0.6386363636363637,2200
eadl1,16,gaussian,0.6559090909090909,2200
eadl1,16,fir,0.6513636363636364,2200
eadl1,16,rand_smooth,0.3286363636363636,2200
eadl1,18,no_defense,0.07227272727272727,2200
eadl1,18,adaptive_k_v2_snr,0.7563636363636363,2200
eadl1,18,adaptive_k,0.7054545454545454,2200
eadl1,18,spectral_gated,0.7495454545454545,2200
eadl1,18,kalman,0.7095454545454546,2200
eadl1,18,wiener,0.66,2200
eadl1,18,savitzky_golay,0.6240909090909091,2200
eadl1,18,gaussian,0.6486363636363637,2200
eadl1,18,fir,0.6463636363636364,2200
eadl1,18,rand_smooth,0.31681818181818183,2200
eaden,0,no_defense,0.020454545454545454,2200
eaden,0,adaptive_k_v2_snr,0.555,2200
eaden,0,adaptive_k,0.4222727272727273,2200
eaden,0,spectral_gated,0.5772727272727273,2200
eaden,0,kalman,0.4177272727272727,2200
eaden,0,wiener,0.37636363636363634,2200
eaden,0,savitzky_golay,0.38545454545454544,2200
eaden,0,gaussian,0.3718181818181818,2200
eaden,0,fir,0.3718181818181818,2200
eaden,0,rand_smooth,0.31,2200
eaden,2,no_defense,0.028636363636363637,2200
eaden,2,adaptive_k_v2_snr,0.5986363636363636,2200
eaden,2,adaptive_k,0.5340909090909091,2200
eaden,2,spectral_gated,0.5981818181818181,2200
eaden,2,kalman,0.48,2200
eaden,2,wiener,0.4577272727272727,2200
eaden,2,savitzky_golay,0.4368181818181818,2200
eaden,2,gaussian,0.45136363636363636,2200
eaden,2,fir,0.4677272727272727,2200
eaden,2,rand_smooth,0.3340909090909091,2200
eaden,4,no_defense,0.03318181818181818,2200
eaden,4,adaptive_k_v2_snr,0.645,2200
eaden,4,adaptive_k,0.6086363636363636,2200
eaden,4,spectral_gated,0.6095454545454545,2200
eaden,4,kalman,0.5604545454545454,2200
eaden,4,wiener,0.5181818181818182,2200
eaden,4,savitzky_golay,0.5168181818181818,2200
eaden,4,gaussian,0.5104545454545455,2200
eaden,4,fir,0.5418181818181819,2200
eaden,4,rand_smooth,0.30863636363636365,2200
eaden,6,no_defense,0.03909090909090909,2200
eaden,6,adaptive_k_v2_snr,0.6818181818181818,2200
eaden,6,adaptive_k,0.6463636363636364,2200
eaden,6,spectral_gated,0.6322727272727273,2200
eaden,6,kalman,0.5995454545454545,2200
eaden,6,wiener,0.5759090909090909,2200
eaden,6,savitzky_golay,0.5531818181818182,2200
eaden,6,gaussian,0.5540909090909091,2200
eaden,6,fir,0.5195454545454545,2200
eaden,6,rand_smooth,0.3245454545454545,2200
eaden,8,no_defense,0.03363636363636364,2200
eaden,8,adaptive_k_v2_snr,0.6931818181818182,2200
eaden,8,adaptive_k,0.64,2200
eaden,8,spectral_gated,0.6368181818181818,2200
eaden,8,kalman,0.610909090909091,2200
eaden,8,wiener,0.5990909090909091,2200
eaden,8,savitzky_golay,0.5672727272727273,2200
eaden,8,gaussian,0.5722727272727273,2200
eaden,8,fir,0.6168181818181818,2200
eaden,8,rand_smooth,0.30272727272727273,2200
eaden,10,no_defense,0.03363636363636364,2200
eaden,10,adaptive_k_v2_snr,0.7154545454545455,2200
eaden,10,adaptive_k,0.6745454545454546,2200
eaden,10,spectral_gated,0.6504545454545455,2200
eaden,10,kalman,0.634090909090909,2200
eaden,10,wiener,0.649090909090909,2200
eaden,10,savitzky_golay,0.6118181818181818,2200
eaden,10,gaussian,0.5363636363636364,2200
eaden,10,fir,0.6163636363636363,2200
eaden,10,rand_smooth,0.3231818181818182,2200
eaden,12,no_defense,0.038636363636363635,2200
eaden,12,adaptive_k_v2_snr,0.7018181818181818,2200
eaden,12,adaptive_k,0.6577272727272727,2200
eaden,12,spectral_gated,0.6540909090909091,2200
eaden,12,kalman,0.6727272727272727,2200
eaden,12,wiener,0.6409090909090909,2200
eaden,12,savitzky_golay,0.6245454545454545,2200
eaden,12,gaussian,0.5818181818181818,2200
eaden,12,fir,0.5804545454545454,2200
eaden,12,rand_smooth,0.32636363636363636,2200
eaden,14,no_defense,0.038181818181818185,2200
eaden,14,adaptive_k_v2_snr,0.7095454545454546,2200
eaden,14,adaptive_k,0.6686363636363636,2200
eaden,14,spectral_gated,0.665,2200
eaden,14,kalman,0.68,2200
eaden,14,wiener,0.6363636363636364,2200
eaden,14,savitzky_golay,0.6218181818181818,2200
eaden,14,gaussian,0.6,2200
eaden,14,fir,0.6990909090909091,2200
eaden,14,rand_smooth,0.2968181818181818,2200
eaden,16,no_defense,0.038636363636363635,2200
eaden,16,adaptive_k_v2_snr,0.7190909090909091,2200
eaden,16,adaptive_k,0.685,2200
eaden,16,spectral_gated,0.665,2200
eaden,16,kalman,0.6681818181818182,2200
eaden,16,wiener,0.6495454545454545,2200
eaden,16,savitzky_golay,0.6322727272727273,2200
eaden,16,gaussian,0.5918181818181818,2200
eaden,16,fir,0.6459090909090909,2200
eaden,16,rand_smooth,0.32045454545454544,2200
eaden,18,no_defense,0.03363636363636364,2200
eaden,18,adaptive_k_v2_snr,0.7281818181818182,2200
eaden,18,adaptive_k,0.6822727272727273,2200
eaden,18,spectral_gated,0.6759090909090909,2200
eaden,18,kalman,0.6968181818181818,2200
eaden,18,wiener,0.6418181818181818,2200
eaden,18,savitzky_golay,0.6172727272727273,2200
eaden,18,gaussian,0.600909090909091,2200
eaden,18,fir,0.6395454545454545,2200
eaden,18,rand_smooth,0.31136363636363634,2200
fgsm,0,no_defense,0.26636363636363636,2200
fgsm,0,adaptive_k_v2_snr,0.28136363636363637,2200
fgsm,0,adaptive_k,0.28954545454545455,2200
fgsm,0,spectral_gated,0.2868181818181818,2200
fgsm,0,kalman,0.21545454545454545,2200
fgsm,0,wiener,0.20227272727272727,2200
fgsm,0,savitzky_golay,0.21818181818181817,2200
fgsm,0,gaussian,0.23318181818181818,2200
fgsm,0,fir,0.2509090909090909,2200
fgsm,0,rand_smooth,0.29772727272727273,2200
fgsm,2,no_defense,0.37318181818181817,2200
fgsm,2,adaptive_k_v2_snr,0.3936363636363636,2200
fgsm,2,adaptive_k,0.4059090909090909,2200
fgsm,2,spectral_gated,0.38181818181818183,2200
fgsm,2,kalman,0.33045454545454545,2200
fgsm,2,wiener,0.3059090909090909,2200
fgsm,2,savitzky_golay,0.305,2200
fgsm,2,gaussian,0.30227272727272725,2200
fgsm,2,fir,0.295,2200
fgsm,2,rand_smooth,0.315,2200
