defense,0,2,4,6,8,10,12,14,16,18,weighted_avg
no_defense,0.17727272727272728,0.225,0.27454545454545454,0.32227272727272727,0.35363636363636364,0.41454545454545455,0.4359090909090909,0.4381818181818182,0.45181818181818184,0.44681818181818184,0.354
adaptive_k_v2_snr,0.5645454545454546,0.6154545454545455,0.6718181818181819,0.7095454545454546,0.7313636363636363,0.77,0.7604545454545455,0.7631818181818182,0.7759090909090909,0.7718181818181818,0.7134090909090909
adaptive_k,0.45681818181818185,0.5581818181818182,0.645,0.6786363636363636,0.6886363636363636,0.7254545454545455,0.7159090909090909,0.7213636363636363,0.745,0.7277272727272728,0.6662727272727272
spectral_gated,0.5890909090909091,0.6090909090909091,0.65,0.6754545454545454,0.6813636363636364,0.7290909090909091,0.7281818181818182,0.73,0.7422727272727273,0.7345454545454545,0.6869090909090909
kalman,0.45181818181818184,0.5218181818181818,0.5840909090909091,0.6368181818181818,0.6413636363636364,0.7290909090909091,0.7340909090909091,0.7177272727272728,0.765,0.735909090909091,0.6517727272727273
wiener,0.4127272727272727,0.49818181818181817,0.55,0.6004545454545455,0.6431818181818182,0.6886363636363636,0.6886363636363636,0.6863636363636364,0.7,0.6877272727272727,0.6155909090909091
savitzky_golay,0.43272727272727274,0.4909090909090909,0.5468181818181819,0.5818181818181818,0.6140909090909091,0.6631818181818182,0.6727272727272727,0.6631818181818182,0.6822727272727273,0.6790909090909091,0.6026818181818182
gaussian,0.4440909090909091,0.48954545454545456,0.5395454545454546,0.5868181818181818,0.6222727272727273,0.6518181818181819,0.6831818181818182,0.6590909090909091,0.6763636363636364,0.6786363636363636,0.6031363636363636
fir,0.4022727272727273,0.5081818181818182,0.5795454545454546,0.5677272727272727,0.6613636363636364,0.6859090909090909,0.6481818181818182,0.7381818181818182,0.7063636363636364,0.7018181818181818,0.6199545454545454
rand_smooth,0.3059090909090909,0.33181818181818185,0.31227272727272726,0.32136363636363635,0.3104545454545454,0.3290909090909091,0.33,0.31136363636363634,0.3277272727272727,0.3277272727272727,0.32077272727272726
