defense,0,2,4,6,8,10,12,14,16,18,weighted_avg
no_defense,0.020454545454545454,0.028636363636363637,0.03318181818181818,0.03909090909090909,0.03363636363636364,0.03363636363636364,0.038636363636363635,0.038181818181818185,0.038636363636363635,0.03363636363636364,0.033772727272727274
adaptive_k_v2_snr,0.555,0.5986363636363636,0.645,0.6818181818181818,0.6931818181818182,0.7154545454545455,0.7018181818181818,0.7095454545454546,0.7190909090909091,0.7281818181818182,0.6747727272727273
adaptive_k,0.4222727272727273,0.5340909090909091,0.6086363636363636,0.6463636363636364,0.64,0.6745454545454546,0.6577272727272727,0.6686363636363636,0.685,0.6822727272727273,0.6219545454545454
spectral_gated,0.5772727272727273,0.5981818181818181,0.6095454545454545,0.6322727272727273,0.6368181818181818,0.6504545454545455,0.6540909090909091,0.665,0.665,0.6759090909090909,0.6364545454545455
kalman,0.4177272727272727,0.48,0.5604545454545454,0.5995454545454545,0.610909090909091,0.634090909090909,0.6727272727272727,0.68,0.6681818181818182,0.6968181818181818,0.6020454545454546
wiener,0.37636363636363634,0.4577272727272727,0.5181818181818182,0.5759090909090909,0.5990909090909091,0.649090909090909,0.6409090909090909,0.6363636363636364,0.6495454545454545,0.6418181818181818,0.5745
savitzky_golay,0.38545454545454544,0.4368181818181818,0.5168181818181818,0.5531818181818182,0.5672727272727273,0.6118181818181818,0.6245454545454545,0.6218181818181818,0.6322727272727273,0.6172727272727273,0.5567272727272727
gaussian,0.3718181818181818,0.45136363636363636,0.5104545454545455,0.5540909090909091,0.5722727272727273,0.5363636363636364,0.5818181818181818,0.6,0.5918181818181818,0.600909090909091,0.5370909090909091
fir,0.3718181818181818,0.4677272727272727,0.5418181818181819,0.5195454545454545,0.6168181818181818,0.6163636363636363,0.5804545454545454,0.6990909090909091,0.6459090909090909,0.6395454545454545,0.5699090909090909
rand_smooth,0.31,0.3340909090909091,0.30863636363636365,0.3245454545454545,0.30272727272727273,0.3231818181818182,0.32636363636363636,0.2968181818181818,0.32045454545454544,0.31136363636363634,0.31581818181818183
