defense,0,2,4,6,8,10,12,14,16,18,weighted_avg
no_defense,0.08363636363636363,0.06954545454545455,0.065,0.045454545454545456,0.06181818181818182,0.06954545454545455,0.06454545454545454,0.05954545454545455,0.0659090909090909,0.07227272727272727,0.06572727272727273
adaptive_k_v2_snr,0.5854545454545454,0.6295454545454545,0.6754545454545454,0.7204545454545455,0.7190909090909091,0.7490909090909091,0.7459090909090909,0.7413636363636363,0.7586363636363637,0.7563636363636363,0.7081363636363637
adaptive_k,0.5104545454545455,0.6027272727272728,0.6481818181818182,0.6790909090909091,0.6709090909090909,0.6990909090909091,0.6904545454545454,0.6986363636363636,0.7140909090909091,0.7054545454545454,0.6619090909090909
spectral_gated,0.6227272727272727,0.649090909090909,0.6681818181818182,0.6968181818181818,0.6940909090909091,0.7281818181818182,0.730909090909091,0.7345454545454545,0.7440909090909091,0.7495454545454545,0.7018181818181818
kalman,0.4354545454545454,0.49318181818181817,0.5731818181818182,0.6172727272727273,0.6163636363636363,0.685,0.6854545454545454,0.6895454545454546,0.7245454545454545,0.7095454545454546,0.6229545454545454
wiener,0.39181818181818184,0.48045454545454547,0.5322727272727272,0.595,0.6190909090909091,0.66,0.6572727272727272,0.6527272727272727,0.6654545454545454,0.66,0.5914090909090909
savitzky_golay,0.4113636363636364,0.4581818181818182,0.5231818181818182,0.5636363636363636,0.5795454545454546,0.6154545454545455,0.6286363636363637,0.6290909090909091,0.6386363636363637,0.6240909090909091,0.5671818181818182
gaussian,0.42318181818181816,0.47454545454545455,0.5245454545454545,0.5740909090909091,0.5845454545454546,0.5963636363636363,0.6431818181818182,0.6477272727272727,0.6559090909090909,0.6486363636363637,0.5772727272727273
fir,0.37636363636363634,0.48727272727272725,0.5504545454545454,0.5281818181818182,0.6327272727272727,0.6172727272727273,0.5877272727272728,0.7113636363636363,0.6513636363636364,0.6463636363636364,0.5789090909090909
rand_smooth,0.31,0.32136363636363635,0.31,0.325,0.30863636363636365,0.32136363636363635,0.31681818181818183,0.30454545454545456,0.3286363636363636,0.31681818181818183,0.31631818181818183
