defense,0,2,4,6,8,10,12,14,16,18,weighted_avg
no_defense,0.26636363636363636,0.37318181818181817,0.4536363636363636,0.47545454545454546,0.5031818181818182,0.5236363636363637,0.5227272727272727,0.5372727272727272,0.5681818181818182,0.5822727272727273,0.48059090909090907
adaptive_k_v2_snr,0.28136363636363637,0.3936363636363636,0.5081818181818182,0.5395454545454546,0.5595454545454546,0.5745454545454546,0.5740909090909091,0.58,0.5909090909090909,0.5945454545454546,0.5196363636363637
adaptive_k,0.28954545454545455,0.4059090909090909,0.5113636363636364,0.5427272727272727,0.5618181818181818,0.5763636363636364,0.5713636363636364,0.5777272727272728,0.5918181818181818,0.5945454545454546,0.5223181818181818
spectral_gated,0.2868181818181818,0.38181818181818183,0.4536363636363636,0.4772727272727273,0.5,0.5259090909090909,0.5263636363636364,0.54,0.5695454545454546,0.5845454545454546,0.48459090909090907
kalman,0.21545454545454545,0.33045454545454545,0.42272727272727273,0.46636363636363637,0.5009090909090909,0.5290909090909091,0.5272727272727272,0.54,0.5704545454545454,0.5740909090909091,0.4676818181818182
wiener,0.20227272727272727,0.3059090909090909,0.40136363636363637,0.4536363636363636,0.49,0.5245454545454545,0.53,0.5381818181818182,0.5572727272727273,0.5609090909090909,0.45640909090909093
savitzky_golay,0.21818181818181817,0.305,0.395,0.45,0.4868181818181818,0.5172727272727272,0.5295454545454545,0.54,0.5572727272727273,0.565,0.45640909090909093
gaussian,0.23318181818181818,0.30227272727272725,0.4009090909090909,0.45181818181818184,0.485,0.5204545454545455,0.5268181818181819,0.5345454545454545,0.5627272727272727,0.5772727272727273,0.4595
fir,0.2509090909090909,0.295,0.4036363636363636,0.44363636363636366,0.4959090909090909,0.53,0.5209090909090909,0.5409090909090909,0.5836363636363636,0.5790909090909091,0.46436363636363637
rand_smooth,0.29772727272727273,0.315,0.3,0.31,0.29409090909090907,0.3145454545454546,0.3059090909090909,0.3,0.3159090909090909,0.3018181818181818,0.3055
