defense,0,2,4,6,8,10,12,14,16,18,weighted_avg
no_defense,0.12954545454545455,0.2177272727272727,0.2859090909090909,0.3231818181818182,0.335,0.37,0.37772727272727274,0.38272727272727275,0.40454545454545454,0.4304545454545455,0.3256818181818182
adaptive_k_v2_snr,0.21636363636363637,0.30454545454545456,0.40545454545454546,0.4531818181818182,0.4740909090909091,0.4918181818181818,0.5009090909090909,0.4813636363636364,0.5077272727272727,0.5077272727272727,0.4343181818181818
adaptive_k,0.1509090909090909,0.2731818181818182,0.38181818181818183,0.44363636363636366,0.4631818181818182,0.4909090909090909,0.4954545454545455,0.48,0.5036363636363637,0.5009090909090909,0.4183636363636364
spectral_gated,0.18272727272727274,0.26045454545454544,0.315,0.3472727272727273,0.3527272727272727,0.38227272727272726,0.3890909090909091,0.39090909090909093,0.41909090909090907,0.4459090909090909,0.34854545454545455
kalman,0.15454545454545454,0.26045454545454544,0.32,0.3790909090909091,0.41045454545454546,0.38272727272727275,0.4304545454545455,0.4395454545454546,0.42363636363636364,0.4763636363636364,0.36772727272727274
wiener,0.15272727272727274,0.22772727272727272,0.2909090909090909,0.3577272727272727,0.365,0.4009090909090909,0.4109090909090909,0.4163636363636364,0.4431818181818182,0.4640909090909091,0.35295454545454547
savitzky_golay,0.14727272727272728,0.24227272727272728,0.3231818181818182,0.38181818181818183,0.4027272727272727,0.4254545454545455,0.445,0.4486363636363636,0.4622727272727273,0.4768181818181818,0.37554545454545457
gaussian,0.14181818181818182,0.22590909090909092,0.29545454545454547,0.36272727272727273,0.3663636363636364,0.37681818181818183,0.38772727272727275,0.3890909090909091,0.41818181818181815,0.4359090909090909,0.34
fir,0.22454545454545455,0.23318181818181818,0.3090909090909091,0.38227272727272726,0.38045454545454543,0.4627272727272727,0.455,0.43363636363636365,0.49727272727272726,0.505,0.38831818181818184
rand_smooth,0.2918181818181818,0.31136363636363634,0.2922727272727273,0.3068181818181818,0.2913636363636364,0.30727272727272725,0.30727272727272725,0.2831818181818182,0.3018181818181818,0.29954545454545456,0.29927272727272725
