approach,accuracy,k_mean,k_std,time_s
clean,0.911500,,,
cw_attacked,0.000000,,,
best_fixed_k4,0.170000,4,,
oracle,0.356500,42.7,29.0,1.0
confidence_0.5,0.144500,5.5,2.3,0.1
confidence_0.6,0.140000,7.2,8.1,0.1
confidence_0.7,0.131500,10.0,13.0,0.1
elbow,0.125000,54.6,14.9,1.1
classify_aggressive,0.124500,8.7,5.6,0.1
confidence_0.8,0.122500,13.0,16.3,0.1
confidence_0.9,0.111000,17.4,20.0,0.1
classify_conservative,0.102500,14.0,6.7,0.1
classify_default,0.087500,16.9,9.3,0.1
energy_knee_0.80,0.074500,30.6,14.9,0.2
energy_knee_0.85,0.064500,37.9,15.3,0.0
spectral_0.20,0.059500,38.5,18.0,0.0
energy_knee_0.90,0.047000,47.5,14.4,0.0
spectral_0.15,0.040000,47.4,17.3,0.0
energy_knee_0.95,0.030500,56.3,11.6,0.0
spectral_0.10,0.027500,54.0,14.6,0.0
spectral_0.05,0.026500,57.3,11.0,0.0
energy_knee_0.99,0.026000,58.4,8.5,0.0
