k,accuracy
1,0.094000
2,0.139000
3,0.168000
4,0.170000
5,0.152500
6,0.139500
7,0.127500
8,0.125500
9,0.118000
10,0.114000
11,0.107500
12,0.105500
13,0.101000
14,0.103500
15,0.101000
16,0.101500
17,0.103500
18,0.096500
19,0.090000
20,0.086000
21,0.086000
22,0.082500
23,0.079000
24,0.073500
25,0.073000
26,0.070000
27,0.063000
28,0.062500
29,0.063000
30,0.064000
31,0.062000
32,0.062500
33,0.062500
34,0.059000
35,0.053500
36,0.055000
37,0.051500
38,0.049500
39,0.047000
40,0.046500
41,0.044000
42,0.041500
43,0.039500
44,0.036500
45,0.037500
46,0.037000
47,0.037500
48,0.038000
49,0.038500
50,0.035000
51,0.032000
52,0.032500
53,0.029000
54,0.030000
55,0.028500
56,0.029000
57,0.026500
58,0.027000
59,0.026500
60,0.025000
61,0.024500
62,0.027000
63,0.025000
64,0.024000
65,0.022500
66,0.021500
67,0.022000
68,0.023500
69,0.023000
70,0.024000
71,0.022500
72,0.021000
73,0.021000
74,0.020500
75,0.021500
76,0.019000
77,0.018500
78,0.018000
79,0.017000
80,0.016500
81,0.016500
82,0.015500
83,0.015500
84,0.014000
85,0.014500
86,0.014500
87,0.013500
88,0.013000
89,0.010500
90,0.011500
91,0.011500
92,0.010500
93,0.009500
94,0.007500
95,0.009500
96,0.009500
97,0.007000
98,0.007000
99,0.006500
100,0.006000
101,0.006500
102,0.006500
103,0.006000
104,0.006000
105,0.005500
106,0.004500
107,0.006000
108,0.005500
109,0.004500
110,0.003500
111,0.002000
112,0.002000
113,0.001500
114,0.002500
115,0.001500
116,0.002000
117,0.001500
118,0.001000
119,0.001000
120,0.001000
121,0.001000
122,0.002000
123,0.001000
124,0.001000
125,0.001000
126,0.000500
127,0.000500
128,0.000000
