rank,approach,accuracy,k_mean,k_std,BPSK,QPSK,8PSK,QAM16,QAM64,PAM4,CPFSK,GFSK,AM-DSB,AM-SSB,WBFM
1,K_oracle,0.854318,28.0,22.1,0.8900,0.9040,0.5925,0.8735,0.9860,0.9925,0.9670,0.9885,0.9970,0.7920,0.4145
2,E_knee_5pct_x1.0,0.743636,33.9,21.7,0.8530,0.8370,0.3990,0.4880,0.7650,0.9690,0.9435,0.8845,0.9630,0.7490,0.3290
3,E_knee_10pct_x1.5,0.736364,30.5,18.9,0.8460,0.8285,0.3660,0.4845,0.7465,0.9690,0.9470,0.8755,0.9815,0.7490,0.3065
4,C_ecb_99_direct,0.736000,38.6,22.2,0.8515,0.8370,0.4105,0.4870,0.7735,0.9700,0.9455,0.8325,0.9225,0.7490,0.3170
5,C_ecb_99_x1.0,0.736000,38.6,22.2,0.8515,0.8370,0.4105,0.4870,0.7735,0.9700,0.9455,0.8325,0.9225,0.7490,0.3170
6,E_knee_5pct_x1.5,0.735636,41.9,21.9,0.8525,0.8345,0.4155,0.4910,0.6740,0.9665,0.9455,0.8635,0.9620,0.7490,0.3380
7,E_knee_10pct_x1.0,0.734455,23.7,18.8,0.8340,0.8295,0.3950,0.4940,0.8315,0.9725,0.9390,0.7705,0.9840,0.7490,0.2800
8,C_ecb_95_x1.5,0.733682,30.0,20.2,0.8465,0.8370,0.3855,0.4835,0.7920,0.9730,0.9400,0.8355,0.9485,0.7490,0.2800
9,C_ecb_95_x1.25,0.733545,26.7,20.4,0.8350,0.8335,0.3970,0.4930,0.8370,0.9755,0.9375,0.7845,0.9455,0.7490,0.2815
10,C_ecb_99_x1.25,0.733227,42.6,21.9,0.8515,0.8360,0.4090,0.4890,0.7320,0.9680,0.9460,0.8300,0.9240,0.7490,0.3310
11,C_ecb_99_x1.5,0.729500,45.8,21.0,0.8530,0.8350,0.4200,0.4895,0.6895,0.9675,0.9460,0.8210,0.9250,0.7490,0.3290
12,E_knee_10pct_x2.0,0.727545,39.4,21.0,0.8485,0.8310,0.3850,0.4725,0.6535,0.9690,0.9440,0.8695,0.9810,0.7490,0.3000
13,E_knee_5pct_x2.0,0.719636,49.2,21.5,0.8515,0.8305,0.4085,0.4560,0.5855,0.9585,0.9465,0.8310,0.9630,0.7490,0.3360
14,C_ecb_90_x1.5,0.719000,23.9,19.0,0.8000,0.8120,0.3755,0.4855,0.8375,0.9770,0.9360,0.7075,0.9675,0.7490,0.2615
15,E_knee_5pct_x0.75,0.717045,28.9,21.3,0.7520,0.7965,0.3085,0.4045,0.8270,0.9725,0.9420,0.8330,0.9670,0.7490,0.3355
16,D_rolloff_95_x1.0,0.693773,56.0,20.7,0.8455,0.8240,0.4025,0.4250,0.5375,0.9540,0.9460,0.7420,0.9510,0.7490,0.2550
17,D_rolloff_95_x0.5,0.693682,55.2,20.9,0.8455,0.8240,0.4025,0.4250,0.5375,0.9540,0.9460,0.7420,0.9535,0.7490,0.2515
18,D_rolloff_95_x0.75,0.693227,55.8,20.7,0.8455,0.8240,0.4025,0.4250,0.5375,0.9540,0.9460,0.7420,0.9465,0.7490,0.2535
19,D_rolloff_85_x1.0,0.690591,53.7,22.8,0.8455,0.8240,0.4025,0.4250,0.5375,0.9540,0.9460,0.7155,0.9700,0.7490,0.2275
