norm_mode,modulation,snr,sample_type,n_samples,attack_acc,top10_acc,top20_acc
minmax,8PSK,18,intact,50,98.0,98.0,98.0
minmax,8PSK,18,apgd,50,0.0,0.0,0.0
minmax,8PSK,18,bim,50,0.0,0.0,0.0
minmax,8PSK,18,cw,50,0.0,0.0,48.0
minmax,8PSK,18,deepfool,50,96.0,0.0,94.0
minmax,8PSK,18,eaden,50,0.0,0.0,56.0
minmax,8PSK,18,eadl1,50,0.0,0.0,60.0
minmax,8PSK,18,eotpgd,50,0.0,0.0,0.0
minmax,8PSK,18,ffgsm,50,0.0,0.0,0.0
minmax,8PSK,18,fgsm,50,0.0,0.0,0.0
minmax,8PSK,18,jitter,50,0.0,0.0,0.0
minmax,8PSK,18,mifgsm,50,0.0,0.0,0.0
minmax,8PSK,18,pgd,50,0.0,0.0,0.0
minmax,8PSK,18,pgdl2,50,0.0,0.0,0.0
minmax,8PSK,18,rfgsm,50,0.0,0.0,0.0
minmax,8PSK,18,upgd,50,0.0,0.0,0.0
minmax,8PSK,18,vmifgsm,50,0.0,0.0,0.0
minmax,8PSK,18,vnifgsm,50,0.0,0.0,0.0
minmax,AM-DSB,18,intact,50,100.0,100.0,100.0
minmax,AM-DSB,18,apgd,50,30.0,30.0,30.0
minmax,AM-DSB,18,bim,50,28.0,28.0,28.0
minmax,AM-DSB,18,cw,50,28.0,100.0,84.0
minmax,AM-DSB,18,deepfool,50,94.0,80.0,92.0
minmax,AM-DSB,18,eaden,50,0.0,98.0,98.0
minmax,AM-DSB,18,eadl1,50,0.0,98.0,90.0
minmax,AM-DSB,18,eotpgd,50,30.0,32.0,30.0
minmax,AM-DSB,18,ffgsm,50,34.0,40.0,36.0
minmax,AM-DSB,18,fgsm,50,64.0,68.0,62.0
minmax,AM-DSB,18,jitter,50,30.0,30.0,30.0
minmax,AM-DSB,18,mifgsm,50,36.0,50.0,42.0
minmax,AM-DSB,18,pgd,50,28.0,28.0,28.0
minmax,AM-DSB,18,pgdl2,50,26.0,28.0,26.0
minmax,AM-DSB,18,rfgsm,50,28.0,30.0,30.0
minmax,AM-DSB,18,upgd,50,36.0,50.0,42.0
minmax,AM-DSB,18,vmifgsm,50,32.0,42.0,36.0
minmax,AM-DSB,18,vnifgsm,50,30.0,40.0,32.0
minmax,AM-SSB,18,intact,50,92.0,92.0,92.0
