modulation,n_samples,clean_acc,cw_acc,recovery_k2,clean_k2,recovery_k3,clean_k3,recovery_k4,clean_k4,recovery_k5,clean_k5,recovery_k6,clean_k6,recovery_k8,clean_k8,recovery_k10,clean_k10,recovery_k12,clean_k12,recovery_k15,clean_k15,recovery_k20,clean_k20,recovery_k25,clean_k25,recovery_k30,clean_k30,recovery_k40,clean_k40,recovery_k50,clean_k50,recovery_k64,clean_k64,best_k
BPSK,2000,0.9860,0.7360,0.0065,0.0070,0.0030,0.0030,0.0045,0.0050,0.0045,0.0045,0.0050,0.0055,0.0090,0.0100,0.0205,0.0230,0.0875,0.0930,0.4555,0.4995,0.8065,0.9060,0.8150,0.9530,0.8220,0.9675,0.8320,0.9800,0.8360,0.9840,0.8460,0.9860,64
QPSK,2000,0.9805,0.3945,0.0000,0.0000,0.0005,0.0000,0.0040,0.0035,0.0010,0.0015,0.0010,0.0005,0.0010,0.0010,0.0040,0.0045,0.0320,0.0410,0.3400,0.4560,0.7380,0.8815,0.7685,0.9265,0.7825,0.9465,0.8165,0.9690,0.8255,0.9765,0.8235,0.9790,50
8PSK,2000,0.9690,0.0240,0.0075,0.0075,0.0085,0.0085,0.0095,0.0095,0.0100,0.0100,0.0100,0.0100,0.0095,0.0095,0.0095,0.0095,0.0110,0.0170,0.0555,0.1995,0.3645,0.7740,0.3430,0.8400,0.3260,0.8740,0.3495,0.9150,0.3675,0.9460,0.4045,0.9620,64
QAM16,2000,0.9140,0.0055,0.2185,0.2185,0.4700,0.4625,0.3090,0.3100,0.2360,0.2395,0.1415,0.1410,0.0440,0.0540,0.0475,0.0510,0.0605,0.0795,0.1670,0.2580,0.5015,0.8235,0.5015,0.8800,0.4755,0.8940,0.4675,0.9035,0.4590,0.9075,0.4280,0.9105,20
QAM64,2000,0.9190,0.0055,0.0525,0.0520,0.1645,0.1635,0.5645,0.5710,0.6800,0.6720,0.8180,0.8190,0.9290,0.9290,0.9430,0.9420,0.9305,0.9420,0.8940,0.9355,0.8370,0.9315,0.7810,0.9260,0.7500,0.9245,0.7060,0.9215,0.6520,0.9225,0.5375,0.9195,10
PAM4,2000,0.9915,0.7785,0.5205,0.5415,0.7780,0.7930,0.8895,0.9000,0.9440,0.9540,0.9450,0.9605,0.9630,0.9775,0.9695,0.9825,0.9730,0.9905,0.9790,0.9910,0.9775,0.9910,0.9745,0.9910,0.9670,0.9925,0.9620,0.9930,0.9645,0.9925,0.9550,0.9920,15
CPFSK,2000,1.0000,0.8610,0.0005,0.0005,0.0015,0.0015,0.0100,0.0100,0.0055,0.0060,0.0065,0.0070,0.0190,0.0205,0.0885,0.0905,0.3415,0.3570,0.7850,0.8315,0.8865,0.9605,0.9100,0.9875,0.9260,0.9940,0.9380,0.9980,0.9440,0.9995,0.9465,0.9995,64
GFSK,2000,0.9935,0.1810,0.2205,0.2220,0.3115,0.3180,0.3120,0.3210,0.3615,0.3880,0.4075,0.4505,0.5935,0.6900,0.7615,0.8870,0.8550,0.9580,0.9125,0.9745,0.8885,0.9785,0.8705,0.9780,0.8410,0.9835,0.8165,0.9895,0.7935,0.9915,0.7445,0.9920,15
AM-DSB,2000,0.9850,0.6140,0.9840,0.9915,0.9505,0.9810,0.9525,0.9835,0.9380,0.9785,0.9330,0.9790,0.9240,0.9750,0.9255,0.9750,0.9260,0.9760,0.9270,0.9785,0.9210,0.9810,0.9195,0.9800,0.9210,0.9820,0.9155,0.9830,0.9095,0.9825,0.8980,0.9830,2
AM-SSB,2000,0.9045,0.0345,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0025,0.0005,0.0370,0.0145,0.1610,0.1240,0.4990,0.6185,0.6715,0.8395,0.7490,0.9020,64
WBFM,2000,0.3755,0.2600,0.1855,0.1840,0.3095,0.3110,0.3295,0.3320,0.3490,0.3565,0.3600,0.3675,0.3760,0.3830,0.3780,0.3855,0.3715,0.3810,0.3720,0.3845,0.3640,0.3830,0.3475,0.3770,0.3465,0.3790,0.3405,0.3780,0.3370,0.3750,0.3380,0.3790,10
