mod,snr,scenario,crc_pass_rate,ber,amc_acc
BPSK,0,Clean,1.0,0.0,0.73
BPSK,0,Clean+AMC,0.73,0.123571,0.73
BPSK,0,CW,0.995,0.000357,0.005
BPSK,0,CW+AMC,0.02,0.47,0.005
BPSK,0,CW+Top10,0.79,0.0225,0.0
BPSK,0,CW+Top10+AMC,0.0,0.4825,0.0
BPSK,0,Clean+Top10,0.81,0.019286,-1
BPSK,0,CW+Top20,0.96,0.003571,0.115
BPSK,0,CW+Top20+AMC,0.12,0.416429,0.115
BPSK,0,Clean+Top20,0.97,0.0025,-1
BPSK,0,CW+Top30,0.975,0.001786,0.18
BPSK,0,CW+Top30+AMC,0.18,0.385714,0.18
BPSK,0,Clean+Top30,0.995,0.000357,-1
BPSK,0,CW+Top40,0.99,0.000714,0.325
BPSK,0,CW+Top40+AMC,0.325,0.32,0.325
BPSK,0,Clean+Top40,1.0,0.0,-1
BPSK,0,CW+Top50,0.995,0.000357,0.35
BPSK,0,CW+Top50+AMC,0.36,0.3075,0.35
BPSK,0,Clean+Top50,1.0,0.0,-1
QPSK,0,Clean,0.84,0.007143,0.485
QPSK,0,Clean+AMC,0.415,0.264286,0.485
QPSK,0,CW,0.835,0.007321,0.015
QPSK,0,CW+AMC,0.015,0.491071,0.015
QPSK,0,CW+Top10,0.215,0.075536,0.0
QPSK,0,CW+Top10+AMC,0.005,0.51625,0.0
QPSK,0,Clean+Top10,0.225,0.075357,-1
QPSK,0,CW+Top20,0.57,0.029821,0.055
QPSK,0,CW+Top20+AMC,0.04,0.484464,0.055
QPSK,0,Clean+Top20,0.595,0.027321,-1
QPSK,0,CW+Top30,0.65,0.019107,0.11
QPSK,0,CW+Top30+AMC,0.085,0.455357,0.11
QPSK,0,Clean+Top30,0.67,0.017679,-1
QPSK,0,CW+Top40,0.735,0.014107,0.185
QPSK,0,CW+Top40+AMC,0.17,0.41375,0.185
QPSK,0,Clean+Top40,0.75,0.013214,-1
QPSK,0,CW+Top50,0.745,0.011607,0.23
QPSK,0,CW+Top50+AMC,0.17,0.391964,0.23
QPSK,0,Clean+Top50,0.78,0.01,-1
8PSK,0,Clean,0.08,0.072024,0.44
8PSK,0,Clean+AMC,0.04,0.314345,0.44
8PSK,0,CW,0.075,0.072738,0.01
8PSK,0,CW+AMC,0.015,0.495774,0.01
8PSK,0,CW+Top10,0.005,0.158571,0.0
8PSK,0,CW+Top10+AMC,0.005,0.520476,0.0
8PSK,0,Clean+Top10,0.005,0.158929,-1
8PSK,0,CW+Top20,0.01,0.105119,0.09
8PSK,0,CW+Top20+AMC,0.0,0.484226,0.09
8PSK,0,Clean+Top20,0.01,0.105476,-1
8PSK,0,CW+Top30,0.02,0.090476,0.17
8PSK,0,CW+Top30+AMC,0.005,0.445238,0.17
8PSK,0,Clean+Top30,0.03,0.090119,-1
8PSK,0,CW+Top40,0.04,0.084881,0.265
8PSK,0,CW+Top40+AMC,0.01,0.404286,0.265
8PSK,0,Clean+Top40,0.03,0.084048,-1
8PSK,0,CW+Top50,0.06,0.08369,0.265
8PSK,0,CW+Top50+AMC,0.015,0.399286,0.265
8PSK,0,Clean+Top50,0.045,0.083333,-1
QAM16,0,Clean,0.015,0.135982,0.585
QAM16,0,Clean+AMC,0.005,0.294464,0.585
QAM16,0,CW,0.01,0.134821,0.015
QAM16,0,CW+AMC,0.0,0.499881,0.015
QAM16,0,CW+Top10,0.0,0.232321,0.085
QAM16,0,CW+Top10+AMC,0.0,0.470536,0.085
QAM16,0,Clean+Top10,0.0,0.231071,-1
QAM16,0,CW+Top20,0.01,0.174732,0.285
QAM16,0,CW+Top20+AMC,0.01,0.398155,0.285
QAM16,0,Clean+Top20,0.01,0.173036,-1
QAM16,0,CW+Top30,0.005,0.15625,0.49
QAM16,0,CW+Top30+AMC,0.005,0.322649,0.49
QAM16,0,Clean+Top30,0.01,0.156786,-1
QAM16,0,CW+Top40,0.01,0.149554,0.495
QAM16,0,CW+Top40+AMC,0.01,0.32369,0.495
QAM16,0,Clean+Top40,0.005,0.149375,-1
QAM16,0,CW+Top50,0.025,0.140893,0.51
QAM16,0,CW+Top50+AMC,0.015,0.314405,0.51
QAM16,0,Clean+Top50,0.015,0.142143,-1
QAM64,0,Clean,0.005,0.237321,0.145
QAM64,0,Clean+AMC,0.0,0.464137,0.145
QAM64,0,CW,0.005,0.237083,0.01
QAM64,0,CW+AMC,0.005,0.500804,0.01
QAM64,0,CW+Top10,0.0,0.320655,0.92
QAM64,0,CW+Top10+AMC,0.0,0.335863,0.92
QAM64,0,Clean+Top10,0.0,0.318929,-1
QAM64,0,CW+Top20,0.0,0.270238,0.73
QAM64,0,CW+Top20+AMC,0.0,0.331935,0.73
QAM64,0,Clean+Top20,0.0,0.270298,-1
QAM64,0,CW+Top30,0.015,0.257202,0.48
QAM64,0,CW+Top30+AMC,0.0,0.384256,0.48
QAM64,0,Clean+Top30,0.015,0.257321,-1
QAM64,0,CW+Top40,0.01,0.247619,0.335
QAM64,0,CW+Top40+AMC,0.0,0.413423,0.335
QAM64,0,Clean+Top40,0.01,0.247857,-1
QAM64,0,CW+Top50,0.005,0.244107,0.26
QAM64,0,CW+Top50+AMC,0.005,0.431429,0.26
QAM64,0,Clean+Top50,0.005,0.243512,-1
PAM4,0,Clean,0.24,0.081964,0.76
PAM4,0,Clean+AMC,0.2,0.171607,0.76
PAM4,0,CW,0.225,0.085179,0.01
PAM4,0,CW+AMC,0.015,0.465893,0.01
PAM4,0,CW+Top10,0.01,0.197857,0.515
PAM4,0,CW+Top10+AMC,0.005,0.341071,0.515
PAM4,0,Clean+Top10,0.005,0.197321,-1
PAM4,0,CW+Top20,0.125,0.11375,0.6
PAM4,0,CW+Top20+AMC,0.065,0.263393,0.6
PAM4,0,Clean+Top20,0.115,0.111607,-1
PAM4,0,CW+Top30,0.15,0.096607,0.655
PAM4,0,CW+Top30+AMC,0.09,0.236607,0.655
PAM4,0,Clean+Top30,0.14,0.096964,-1
PAM4,0,CW+Top40,0.19,0.096429,0.685
PAM4,0,CW+Top40+AMC,0.125,0.216786,0.685
PAM4,0,Clean+Top40,0.175,0.090714,-1
PAM4,0,CW+Top50,0.215,0.089643,0.695
PAM4,0,CW+Top50+AMC,0.15,0.209286,0.695
PAM4,0,Clean+Top50,0.215,0.085357,-1
CPFSK,0,Clean,0.07,0.266071,0.545
CPFSK,0,Clean+AMC,0.045,0.366071,0.545
CPFSK,0,CW,0.07,0.266071,0.005
CPFSK,0,CW+AMC,0.0,0.496786,0.005
CPFSK,0,CW+Top10,0.07,0.266071,0.0
CPFSK,0,CW+Top10+AMC,0.0,0.5,0.0
CPFSK,0,Clean+Top10,0.07,0.266071,-1
CPFSK,0,CW+Top20,0.07,0.266071,0.085
CPFSK,0,CW+Top20+AMC,0.005,0.480357,0.085
CPFSK,0,Clean+Top20,0.07,0.266071,-1
CPFSK,0,CW+Top30,0.07,0.266071,0.23
CPFSK,0,CW+Top30+AMC,0.02,0.441429,0.23
CPFSK,0,Clean+Top30,0.07,0.266071,-1
CPFSK,0,CW+Top40,0.07,0.266071,0.285
CPFSK,0,CW+Top40+AMC,0.015,0.428571,0.285
CPFSK,0,Clean+Top40,0.07,0.266071,-1
CPFSK,0,CW+Top50,0.07,0.266071,0.275
CPFSK,0,CW+Top50+AMC,0.015,0.435714,0.275
CPFSK,0,Clean+Top50,0.07,0.266071,-1
GFSK,0,Clean,0.065,0.284286,0.035
GFSK,0,Clean+AMC,0.025,0.416429,0.035
GFSK,0,CW,0.065,0.284286,0.035
GFSK,0,CW+AMC,0.025,0.416429,0.035
