mod,snr,scenario,crc_pass_rate,ber,amc_acc
BPSK,0,Clean,1.0,0.0,0.82
BPSK,0,Clean+AMC,0.82,0.077857,0.82
BPSK,0,CW,1.0,0.0,0.005
BPSK,0,CW+AMC,0.005,0.4575,0.005
BPSK,0,CW+Top10,0.79,0.019643,0.02
BPSK,0,CW+Top10+AMC,0.02,0.466071,0.02
BPSK,0,Clean+Top10,0.77,0.0225,-1
BPSK,0,CW+Top20,1.0,0.0,0.12
BPSK,0,CW+Top20+AMC,0.13,0.410357,0.12
BPSK,0,Clean+Top20,1.0,0.0,-1
BPSK,0,CW+Top30,0.99,0.001071,0.215
BPSK,0,CW+Top30+AMC,0.21,0.365714,0.215
BPSK,0,Clean+Top30,0.99,0.000714,-1
BPSK,0,CW+Top40,0.995,0.000714,0.31
BPSK,0,CW+Top40+AMC,0.305,0.319286,0.31
BPSK,0,Clean+Top40,1.0,0.0,-1
BPSK,0,CW+Top50,0.995,0.000357,0.34
BPSK,0,CW+Top50+AMC,0.335,0.304643,0.34
BPSK,0,Clean+Top50,1.0,0.0,-1
QPSK,0,Clean,0.8,0.010357,0.48
QPSK,0,Clean+AMC,0.4,0.257857,0.48
QPSK,0,CW,0.78,0.010893,0.015
QPSK,0,CW+AMC,0.015,0.480714,0.015
QPSK,0,CW+Top10,0.145,0.071607,0.0
QPSK,0,CW+Top10+AMC,0.0,0.521607,0.0
QPSK,0,Clean+Top10,0.15,0.070536,-1
QPSK,0,CW+Top20,0.555,0.025893,0.035
QPSK,0,CW+Top20+AMC,0.025,0.491607,0.035
QPSK,0,Clean+Top20,0.58,0.024107,-1
QPSK,0,CW+Top30,0.64,0.016786,0.11
QPSK,0,CW+Top30+AMC,0.08,0.439107,0.11
QPSK,0,Clean+Top30,0.655,0.016607,-1
QPSK,0,CW+Top40,0.715,0.013036,0.205
QPSK,0,CW+Top40+AMC,0.155,0.390357,0.205
QPSK,0,Clean+Top40,0.725,0.012857,-1
QPSK,0,CW+Top50,0.73,0.012679,0.265
QPSK,0,CW+Top50+AMC,0.23,0.359821,0.265
QPSK,0,Clean+Top50,0.735,0.012857,-1
8PSK,0,Clean,0.06,0.071667,0.37
8PSK,0,Clean+AMC,0.04,0.339643,0.37
8PSK,0,CW,0.05,0.072262,0.01
8PSK,0,CW+AMC,0.01,0.489881,0.01
8PSK,0,CW+Top10,0.02,0.157262,0.0
8PSK,0,CW+Top10+AMC,0.005,0.505714,0.0
8PSK,0,Clean+Top10,0.02,0.158929,-1
8PSK,0,CW+Top20,0.04,0.10869,0.06
8PSK,0,CW+Top20+AMC,0.0,0.474643,0.06
8PSK,0,Clean+Top20,0.04,0.107381,-1
8PSK,0,CW+Top30,0.035,0.090714,0.165
8PSK,0,CW+Top30+AMC,0.015,0.425536,0.165
8PSK,0,Clean+Top30,0.04,0.089524,-1
8PSK,0,CW+Top40,0.015,0.085833,0.245
8PSK,0,CW+Top40+AMC,0.0,0.400714,0.245
8PSK,0,Clean+Top40,0.025,0.084881,-1
8PSK,0,CW+Top50,0.045,0.081786,0.29
8PSK,0,CW+Top50+AMC,0.025,0.380179,0.29
8PSK,0,Clean+Top50,0.05,0.081667,-1
QAM16,0,Clean,0.005,0.135,0.59
QAM16,0,Clean+AMC,0.005,0.283393,0.59
QAM16,0,CW,0.005,0.135,0.015
QAM16,0,CW+AMC,0.0,0.488363,0.015
QAM16,0,CW+Top10,0.005,0.223125,0.06
QAM16,0,CW+Top10+AMC,0.005,0.470536,0.06
QAM16,0,Clean+Top10,0.005,0.223304,-1
QAM16,0,CW+Top20,0.01,0.169464,0.265
QAM16,0,CW+Top20+AMC,0.005,0.399226,0.265
QAM16,0,Clean+Top20,0.01,0.16875,-1
QAM16,0,CW+Top30,0.0,0.149821,0.505
QAM16,0,CW+Top30+AMC,0.0,0.315149,0.505
QAM16,0,Clean+Top30,0.0,0.150804,-1
QAM16,0,CW+Top40,0.005,0.14625,0.57
QAM16,0,CW+Top40+AMC,0.01,0.294256,0.57
QAM16,0,Clean+Top40,0.01,0.146429,-1
QAM16,0,CW+Top50,0.005,0.144107,0.585
QAM16,0,CW+Top50+AMC,0.015,0.287202,0.585
QAM16,0,Clean+Top50,0.005,0.144107,-1
QAM64,0,Clean,0.0,0.233631,0.215
QAM64,0,Clean+AMC,0.005,0.439345,0.215
QAM64,0,CW,0.0,0.233155,0.01
QAM64,0,CW+AMC,0.005,0.493452,0.01
QAM64,0,CW+Top10,0.0,0.315893,0.92
QAM64,0,CW+Top10+AMC,0.0,0.329732,0.92
QAM64,0,Clean+Top10,0.0,0.316071,-1
QAM64,0,CW+Top20,0.0,0.266548,0.625
QAM64,0,CW+Top20+AMC,0.0,0.349673,0.625
QAM64,0,Clean+Top20,0.0,0.26625,-1
QAM64,0,CW+Top30,0.0,0.254821,0.41
