mod,snr,fec,scenario,crc_pass_rate,amc_acc
QAM64,10,False,Clean,0.09,0.795
QAM64,10,False,Clean+AMC,0.085,0.795
QAM64,10,False,CW,0.075,0.0
QAM64,10,False,CW+AMC,0.0,0.0
QAM64,10,False,CW+Top20,0.035,0.915
QAM64,10,False,CW+Top20+AMC,0.035,0.915
QAM64,10,False,Clean+Top20,0.045,-1
QAM64,10,False,CW+Top50,0.055,0.81
QAM64,10,False,CW+Top50+AMC,0.05,0.81
QAM64,10,False,Clean+Top50,0.075,-1
QAM64,10,True,Clean,0.985,0.815
QAM64,10,True,Clean+AMC,0.805,0.815
QAM64,10,True,CW,0.985,0.0
QAM64,10,True,CW+AMC,0.0,0.0
QAM64,10,True,CW+Top20,0.925,0.95
QAM64,10,True,CW+Top20+AMC,0.88,0.95
QAM64,10,True,Clean+Top20,0.93,-1
QAM64,10,True,CW+Top50,0.975,0.76
QAM64,10,True,CW+Top50+AMC,0.745,0.76
QAM64,10,True,Clean+Top50,0.975,-1
QAM64,6,False,Clean,0.005,0.505
QAM64,6,False,Clean+AMC,0.015,0.505
QAM64,6,False,CW,0.005,0.0
QAM64,6,False,CW+AMC,0.01,0.0
QAM64,6,False,CW+Top20,0.0,0.925
QAM64,6,False,CW+Top20+AMC,0.0,0.925
QAM64,6,False,Clean+Top20,0.0,-1
QAM64,6,False,CW+Top50,0.01,0.7
QAM64,6,False,CW+Top50+AMC,0.01,0.7
QAM64,6,False,Clean+Top50,0.02,-1
QAM64,6,True,Clean,0.87,0.61
QAM64,6,True,Clean+AMC,0.535,0.61
QAM64,6,True,CW,0.87,0.0
QAM64,6,True,CW+AMC,0.0,0.0
QAM64,6,True,CW+Top20,0.79,0.925
QAM64,6,True,CW+Top20+AMC,0.725,0.925
QAM64,6,True,Clean+Top20,0.79,-1
QAM64,6,True,CW+Top50,0.88,0.755
QAM64,6,True,CW+Top50+AMC,0.675,0.755
QAM64,6,True,Clean+Top50,0.875,-1
QAM64,3,False,Clean,0.005,0.31
QAM64,3,False,Clean+AMC,0.005,0.31
QAM64,3,False,CW,0.0,0.005
QAM64,3,False,CW+AMC,0.0,0.005
QAM64,3,False,CW+Top20,0.005,0.825
QAM64,3,False,CW+Top20+AMC,0.005,0.825
QAM64,3,False,Clean+Top20,0.005,-1
QAM64,3,False,CW+Top50,0.0,0.465
QAM64,3,False,CW+Top50+AMC,0.0,0.465
QAM64,3,False,Clean+Top50,0.0,-1
QAM64,3,True,Clean,0.63,0.34
QAM64,3,True,Clean+AMC,0.19,0.34
QAM64,3,True,CW,0.635,0.0
QAM64,3,True,CW+AMC,0.005,0.0
QAM64,3,True,CW+Top20,0.42,0.87
QAM64,3,True,CW+Top20+AMC,0.365,0.87
QAM64,3,True,Clean+Top20,0.42,-1
QAM64,3,True,CW+Top50,0.555,0.535
QAM64,3,True,CW+Top50+AMC,0.295,0.535
QAM64,3,True,Clean+Top50,0.55,-1
