mod,snr,scenario,amc_acc,crc_pass,n
BPSK,0,Clean+Oracle,0.982,0.998,500
BPSK,0,Clean+AMC,0.982,0.988,500
BPSK,0,Adv+Oracle,0.93,1.0,500
BPSK,0,Adv+AMC,0.93,0.93,500
BPSK,18,Clean+Oracle,0.986,1.0,500
BPSK,18,Clean+AMC,0.986,0.994,500
BPSK,18,Adv+Oracle,0.874,1.0,500
BPSK,18,Adv+AMC,0.874,0.878,500
QPSK,0,Clean+Oracle,0.962,0.792,500
QPSK,0,Clean+AMC,0.962,0.766,500
QPSK,0,Adv+Oracle,0.88,0.794,500
QPSK,0,Adv+AMC,0.88,0.698,500
QPSK,18,Clean+Oracle,0.99,1.0,500
QPSK,18,Clean+AMC,0.99,0.988,500
QPSK,18,Adv+Oracle,0.964,1.0,500
QPSK,18,Adv+AMC,0.964,0.966,500
8PSK,0,Clean+Oracle,0.944,0.068,500
8PSK,0,Clean+AMC,0.944,0.064,500
8PSK,0,Adv+Oracle,0.896,0.056,500
8PSK,0,Adv+AMC,0.896,0.048,500
8PSK,18,Clean+Oracle,0.98,1.0,500
8PSK,18,Clean+AMC,0.98,0.98,500
8PSK,18,Adv+Oracle,0.846,0.996,500
8PSK,18,Adv+AMC,0.846,0.844,500
QAM16,0,Clean+Oracle,0.912,0.006,500
QAM16,0,Clean+AMC,0.912,0.008,500
QAM16,0,Adv+Oracle,0.85,0.006,500
QAM16,0,Adv+AMC,0.85,0.004,500
QAM16,18,Clean+Oracle,0.954,1.0,500
QAM16,18,Clean+AMC,0.954,0.942,500
QAM16,18,Adv+Oracle,0.904,1.0,500
QAM16,18,Adv+AMC,0.904,0.904,500
QAM64,0,Clean+Oracle,0.934,0.002,500
QAM64,0,Clean+AMC,0.934,0.002,500
QAM64,0,Adv+Oracle,0.822,0.002,500
QAM64,0,Adv+AMC,0.822,0.0,500
QAM64,18,Clean+Oracle,0.946,0.956,500
QAM64,18,Clean+AMC,0.946,0.906,500
QAM64,18,Adv+Oracle,0.856,0.716,500
QAM64,18,Adv+AMC,0.856,0.62,500
PAM4,0,Clean+Oracle,0.988,0.226,500
PAM4,0,Clean+AMC,0.988,0.226,500
PAM4,0,Adv+Oracle,0.894,0.14,500
PAM4,0,Adv+AMC,0.894,0.12,500
PAM4,18,Clean+Oracle,0.992,1.0,500
PAM4,18,Clean+AMC,0.992,0.988,500
PAM4,18,Adv+Oracle,0.916,0.774,500
PAM4,18,Adv+AMC,0.916,0.708,500
GFSK,0,Clean+Oracle,0.98,0.058,500
GFSK,0,Clean+AMC,0.98,0.056,500
GFSK,0,Adv+Oracle,0.84,0.058,500
GFSK,0,Adv+AMC,0.84,0.052,500
GFSK,18,Clean+Oracle,1.0,0.994,500
GFSK,18,Clean+AMC,1.0,0.994,500
GFSK,18,Adv+Oracle,0.7,0.994,500
GFSK,18,Adv+AMC,0.7,0.694,500
CPFSK,0,Clean+Oracle,1.0,0.068,500
CPFSK,0,Clean+AMC,1.0,0.068,500
CPFSK,0,Adv+Oracle,0.95,0.068,500
CPFSK,0,Adv+AMC,0.95,0.064,500
CPFSK,18,Clean+Oracle,1.0,1.0,500
CPFSK,18,Clean+AMC,1.0,1.0,500
CPFSK,18,Adv+Oracle,0.866,1.0,500
CPFSK,18,Adv+AMC,0.866,0.868,500
