mod,snr,scenario,amc_acc,crc_pass,n
BPSK,0,Clean+Oracle,0.982,0.998,500
BPSK,0,Clean+AMC,0.982,0.988,500
BPSK,0,Adv+Oracle,0.112,0.998,500
BPSK,0,Adv+AMC,0.112,0.118,500
BPSK,18,Clean+Oracle,0.986,1.0,500
BPSK,18,Clean+AMC,0.986,0.994,500
BPSK,18,Adv+Oracle,0.104,1.0,500
BPSK,18,Adv+AMC,0.104,0.122,500
QPSK,0,Clean+Oracle,0.962,0.792,500
QPSK,0,Clean+AMC,0.962,0.766,500
QPSK,0,Adv+Oracle,0.08,0.772,500
QPSK,0,Adv+AMC,0.08,0.058,500
QPSK,18,Clean+Oracle,0.99,1.0,500
QPSK,18,Clean+AMC,0.99,0.988,500
QPSK,18,Adv+Oracle,0.104,1.0,500
QPSK,18,Adv+AMC,0.104,0.11,500
8PSK,0,Clean+Oracle,0.944,0.068,500
8PSK,0,Clean+AMC,0.944,0.064,500
8PSK,0,Adv+Oracle,0.112,0.066,500
8PSK,0,Adv+AMC,0.112,0.008,500
8PSK,18,Clean+Oracle,0.98,1.0,500
8PSK,18,Clean+AMC,0.98,0.98,500
8PSK,18,Adv+Oracle,0.108,1.0,500
8PSK,18,Adv+AMC,0.108,0.11,500
QAM16,0,Clean+Oracle,0.912,0.006,500
QAM16,0,Clean+AMC,0.912,0.008,500
QAM16,0,Adv+Oracle,0.072,0.006,500
QAM16,0,Adv+AMC,0.072,0.0,500
QAM16,18,Clean+Oracle,0.954,1.0,500
QAM16,18,Clean+AMC,0.954,0.942,500
QAM16,18,Adv+Oracle,0.074,1.0,500
QAM16,18,Adv+AMC,0.074,0.08,500
QAM64,0,Clean+Oracle,0.934,0.002,500
QAM64,0,Clean+AMC,0.934,0.002,500
QAM64,0,Adv+Oracle,0.12,0.004,500
QAM64,0,Adv+AMC,0.12,0.004,500
QAM64,18,Clean+Oracle,0.946,0.956,500
QAM64,18,Clean+AMC,0.946,0.906,500
QAM64,18,Adv+Oracle,0.14,0.804,500
QAM64,18,Adv+AMC,0.14,0.114,500
PAM4,0,Clean+Oracle,0.988,0.226,500
PAM4,0,Clean+AMC,0.988,0.226,500
PAM4,0,Adv+Oracle,0.108,0.118,500
PAM4,0,Adv+AMC,0.108,0.018,500
PAM4,18,Clean+Oracle,0.992,1.0,500
PAM4,18,Clean+AMC,0.992,0.988,500
PAM4,18,Adv+Oracle,0.106,0.856,500
PAM4,18,Adv+AMC,0.106,0.098,500
GFSK,0,Clean+Oracle,0.98,0.058,500
GFSK,0,Clean+AMC,0.98,0.056,500
GFSK,0,Adv+Oracle,0.166,0.058,500
GFSK,0,Adv+AMC,0.166,0.012,500
GFSK,18,Clean+Oracle,1.0,0.994,500
GFSK,18,Clean+AMC,1.0,0.994,500
GFSK,18,Adv+Oracle,0.056,0.994,500
GFSK,18,Adv+AMC,0.056,0.056,500
CPFSK,0,Clean+Oracle,1.0,0.068,500
CPFSK,0,Clean+AMC,1.0,0.068,500
CPFSK,0,Adv+Oracle,0.018,0.068,500
CPFSK,0,Adv+AMC,0.018,0.006,500
CPFSK,18,Clean+Oracle,1.0,1.0,500
CPFSK,18,Clean+AMC,1.0,1.0,500
CPFSK,18,Adv+Oracle,0.05,1.0,500
CPFSK,18,Adv+AMC,0.05,0.052,500
