mod,snr,fec,scenario,crc_pass_rate,amc_acc
BPSK,18,False,Clean,1.0,0.995
BPSK,18,False,Clean+AMC,1.0,0.995
BPSK,18,False,CW,1.0,0.065
BPSK,18,False,CW+AMC,0.315,0.065
BPSK,18,False,CW+Top10,0.99,0.02
BPSK,18,False,CW+Top10+AMC,0.03,0.02
BPSK,18,False,Clean+Top10,0.99,-1
BPSK,18,False,CW+Top20,1.0,0.56
BPSK,18,False,CW+Top20+AMC,0.565,0.56
BPSK,18,False,Clean+Top20,1.0,-1
BPSK,18,False,CW+Top50,1.0,0.515
BPSK,18,False,CW+Top50+AMC,0.585,0.515
BPSK,18,False,Clean+Top50,1.0,-1
BPSK,18,True,Clean,1.0,1.0
BPSK,18,True,Clean+AMC,1.0,1.0
BPSK,18,True,CW,1.0,0.08
BPSK,18,True,CW+AMC,0.085,0.08
BPSK,18,True,CW+Top10,1.0,0.015
BPSK,18,True,CW+Top10+AMC,0.02,0.015
BPSK,18,True,Clean+Top10,1.0,-1
BPSK,18,True,CW+Top20,1.0,0.49
BPSK,18,True,CW+Top20+AMC,0.495,0.49
BPSK,18,True,Clean+Top20,1.0,-1
BPSK,18,True,CW+Top50,1.0,0.47
BPSK,18,True,CW+Top50+AMC,0.47,0.47
BPSK,18,True,Clean+Top50,1.0,-1
QPSK,18,False,Clean,1.0,1.0
QPSK,18,False,Clean+AMC,1.0,1.0
QPSK,18,False,CW,1.0,0.0
QPSK,18,False,CW+AMC,0.0,0.0
QPSK,18,False,CW+Top10,0.92,0.0
QPSK,18,False,CW+Top10+AMC,0.01,0.0
QPSK,18,False,Clean+Top10,0.95,-1
QPSK,18,False,CW+Top20,1.0,0.475
QPSK,18,False,CW+Top20+AMC,0.475,0.475
QPSK,18,False,Clean+Top20,1.0,-1
QPSK,18,False,CW+Top50,1.0,0.56
QPSK,18,False,CW+Top50+AMC,0.56,0.56
QPSK,18,False,Clean+Top50,1.0,-1
QPSK,18,True,Clean,1.0,1.0
QPSK,18,True,Clean+AMC,1.0,1.0
QPSK,18,True,CW,1.0,0.0
QPSK,18,True,CW+AMC,0.005,0.0
QPSK,18,True,CW+Top10,1.0,0.0
QPSK,18,True,CW+Top10+AMC,0.0,0.0
QPSK,18,True,Clean+Top10,1.0,-1
QPSK,18,True,CW+Top20,1.0,0.52
QPSK,18,True,CW+Top20+AMC,0.52,0.52
