attack,mod,snr,fec,scenario,crc_pass_rate,amc_acc
eaden,BPSK,18,False,Clean,1.0,0.995
eaden,BPSK,18,False,Clean+AMC,0.995,0.995
eaden,BPSK,18,False,EADEN,1.0,0.0
eaden,BPSK,18,False,EADEN+AMC,0.025,0.0
eaden,BPSK,18,False,EADEN+Top10,0.97,0.015
eaden,BPSK,18,False,EADEN+Top10+AMC,0.025,0.015
eaden,BPSK,18,False,Clean+Top10,0.975,-1
eaden,BPSK,18,False,EADEN+Top20,1.0,0.6
eaden,BPSK,18,False,EADEN+Top20+AMC,0.62,0.6
eaden,BPSK,18,False,Clean+Top20,1.0,-1
eaden,BPSK,18,False,EADEN+Top50,1.0,0.57
eaden,BPSK,18,False,EADEN+Top50+AMC,0.59,0.57
eaden,BPSK,18,False,Clean+Top50,1.0,-1
eaden,QPSK,18,False,Clean,1.0,1.0
eaden,QPSK,18,False,Clean+AMC,1.0,1.0
eaden,QPSK,18,False,EADEN,1.0,0.0
eaden,QPSK,18,False,EADEN+AMC,0.015,0.0
eaden,QPSK,18,False,EADEN+Top10,0.795,0.0
eaden,QPSK,18,False,EADEN+Top10+AMC,0.0,0.0
eaden,QPSK,18,False,Clean+Top10,0.795,-1
eaden,QPSK,18,False,EADEN+Top20,1.0,0.55
eaden,QPSK,18,False,EADEN+Top20+AMC,0.55,0.55
eaden,QPSK,18,False,Clean+Top20,1.0,-1
eaden,QPSK,18,False,EADEN+Top50,1.0,0.635
eaden,QPSK,18,False,EADEN+Top50+AMC,0.635,0.635
eaden,QPSK,18,False,Clean+Top50,1.0,-1
eaden,QPSK,18,True,Clean,1.0,0.035
eaden,QPSK,18,True,Clean+AMC,0.035,0.035
eaden,QPSK,18,True,EADEN,1.0,0.0
eaden,QPSK,18,True,EADEN+AMC,0.0,0.0
eaden,QPSK,18,True,EADEN+Top10,1.0,0.0
eaden,QPSK,18,True,EADEN+Top10+AMC,0.0,0.0
eaden,QPSK,18,True,Clean+Top10,1.0,-1
eaden,QPSK,18,True,EADEN+Top20,1.0,0.0
eaden,QPSK,18,True,EADEN+Top20+AMC,0.0,0.0
eaden,QPSK,18,True,Clean+Top20,1.0,-1
eaden,QPSK,18,True,EADEN+Top50,1.0,0.0
eaden,QPSK,18,True,EADEN+Top50+AMC,0.0,0.0
eaden,QPSK,18,True,Clean+Top50,1.0,-1
eaden,8PSK,18,False,Clean,1.0,0.945
eaden,8PSK,18,False,Clean+AMC,0.945,0.945
eaden,8PSK,18,False,EADEN,1.0,0.0
eaden,8PSK,18,False,EADEN+AMC,0.01,0.0
eaden,8PSK,18,False,EADEN+Top10,0.09,0.0
eaden,8PSK,18,False,EADEN+Top10+AMC,0.01,0.0
eaden,8PSK,18,False,Clean+Top10,0.09,-1
eaden,8PSK,18,False,EADEN+Top20,1.0,0.245
eaden,8PSK,18,False,EADEN+Top20+AMC,0.25,0.245
eaden,8PSK,18,False,Clean+Top20,1.0,-1
eaden,8PSK,18,False,EADEN+Top50,1.0,0.2
eaden,8PSK,18,False,EADEN+Top50+AMC,0.2,0.2
eaden,8PSK,18,False,Clean+Top50,1.0,-1
eaden,8PSK,18,True,Clean,1.0,0.96
eaden,8PSK,18,True,Clean+AMC,0.96,0.96
eaden,8PSK,18,True,EADEN,1.0,0.0
eaden,8PSK,18,True,EADEN+AMC,0.0,0.0
eaden,8PSK,18,True,EADEN+Top10,0.995,0.0
eaden,8PSK,18,True,EADEN+Top10+AMC,0.01,0.0
eaden,8PSK,18,True,Clean+Top10,0.985,-1
eaden,8PSK,18,True,EADEN+Top20,1.0,0.215
eaden,8PSK,18,True,EADEN+Top20+AMC,0.215,0.215
eaden,8PSK,18,True,Clean+Top20,1.0,-1
eaden,8PSK,18,True,EADEN+Top50,1.0,0.16
eaden,8PSK,18,True,EADEN+Top50+AMC,0.16,0.16
eaden,8PSK,18,True,Clean+Top50,1.0,-1
eaden,QAM16,18,False,Clean,1.0,0.775
eaden,QAM16,18,False,Clean+AMC,0.775,0.775
eaden,QAM16,18,False,EADEN,1.0,0.0
eaden,QAM16,18,False,EADEN+AMC,0.0,0.0
eaden,QAM16,18,False,EADEN+Top10,0.015,0.065
eaden,QAM16,18,False,EADEN+Top10+AMC,0.01,0.065
eaden,QAM16,18,False,Clean+Top10,0.01,-1
eaden,QAM16,18,False,EADEN+Top20,0.92,0.26
eaden,QAM16,18,False,EADEN+Top20+AMC,0.23,0.26
eaden,QAM16,18,False,Clean+Top20,0.93,-1
eaden,QAM16,18,False,EADEN+Top50,1.0,0.275
eaden,QAM16,18,False,EADEN+Top50+AMC,0.28,0.275
eaden,QAM16,18,False,Clean+Top50,1.0,-1
eaden,QAM16,18,True,Clean,1.0,0.725
eaden,QAM16,18,True,Clean+AMC,0.725,0.725
eaden,QAM16,18,True,EADEN,1.0,0.0
eaden,QAM16,18,True,EADEN+AMC,0.005,0.0
eaden,QAM16,18,True,EADEN+Top10,0.91,0.08
eaden,QAM16,18,True,EADEN+Top10+AMC,0.085,0.08
eaden,QAM16,18,True,Clean+Top10,0.905,-1
eaden,QAM16,18,True,EADEN+Top20,1.0,0.29
eaden,QAM16,18,True,EADEN+Top20+AMC,0.29,0.29
eaden,QAM16,18,True,Clean+Top20,1.0,-1
eaden,QAM16,18,True,EADEN+Top50,1.0,0.24
eaden,QAM16,18,True,EADEN+Top50+AMC,0.245,0.24
eaden,QAM16,18,True,Clean+Top50,1.0,-1
eaden,QAM64,18,False,Clean,0.935,0.97
eaden,QAM64,18,False,Clean+AMC,0.905,0.97
eaden,QAM64,18,False,EADEN,0.89,0.0
eaden,QAM64,18,False,EADEN+AMC,0.005,0.0
eaden,QAM64,18,False,EADEN+Top10,0.0,0.92
eaden,QAM64,18,False,EADEN+Top10+AMC,0.0,0.92
eaden,QAM64,18,False,Clean+Top10,0.0,-1
eaden,QAM64,18,False,EADEN+Top20,0.375,0.91
eaden,QAM64,18,False,EADEN+Top20+AMC,0.34,0.91
eaden,QAM64,18,False,Clean+Top20,0.45,-1
eaden,QAM64,18,False,EADEN+Top50,0.815,0.81
eaden,QAM64,18,False,EADEN+Top50+AMC,0.65,0.81
eaden,QAM64,18,False,Clean+Top50,0.865,-1
eaden,QAM64,18,True,Clean,1.0,0.925
eaden,QAM64,18,True,Clean+AMC,0.925,0.925
eaden,QAM64,18,True,EADEN,1.0,0.0
eaden,QAM64,18,True,EADEN+AMC,0.01,0.0
eaden,QAM64,18,True,EADEN+Top10,0.225,0.955
eaden,QAM64,18,True,EADEN+Top10+AMC,0.21,0.955
eaden,QAM64,18,True,Clean+Top10,0.225,-1
eaden,QAM64,18,True,EADEN+Top20,0.985,0.855
eaden,QAM64,18,True,EADEN+Top20+AMC,0.845,0.855
eaden,QAM64,18,True,Clean+Top20,0.99,-1
eaden,QAM64,18,True,EADEN+Top50,1.0,0.79
eaden,QAM64,18,True,EADEN+Top50+AMC,0.79,0.79
eaden,QAM64,18,True,Clean+Top50,1.0,-1
eaden,PAM4,18,False,Clean,1.0,1.0
eaden,PAM4,18,False,Clean+AMC,1.0,1.0
eaden,PAM4,18,False,EADEN,0.985,0.0
eaden,PAM4,18,False,EADEN+AMC,0.0,0.0
eaden,PAM4,18,False,EADEN+Top10,0.085,0.895
eaden,PAM4,18,False,EADEN+Top10+AMC,0.075,0.895
eaden,PAM4,18,False,Clean+Top10,0.125,-1
eaden,PAM4,18,False,EADEN+Top20,0.945,0.945
eaden,PAM4,18,False,EADEN+Top20+AMC,0.89,0.945
eaden,PAM4,18,False,Clean+Top20,1.0,-1
eaden,PAM4,18,False,EADEN+Top50,0.98,0.855
eaden,PAM4,18,False,EADEN+Top50+AMC,0.835,0.855
eaden,PAM4,18,False,Clean+Top50,1.0,-1
eaden,PAM4,18,True,Clean,1.0,0.075
eaden,PAM4,18,True,Clean+AMC,0.14,0.075
eaden,PAM4,18,True,EADEN,1.0,0.0
eaden,PAM4,18,True,EADEN+AMC,0.08,0.0
eaden,PAM4,18,True,EADEN+Top10,0.895,0.005
eaden,PAM4,18,True,EADEN+Top10+AMC,0.005,0.005
eaden,PAM4,18,True,Clean+Top10,0.9,-1
eaden,PAM4,18,True,EADEN+Top20,1.0,0.05
eaden,PAM4,18,True,EADEN+Top20+AMC,0.095,0.05
eaden,PAM4,18,True,Clean+Top20,1.0,-1
eaden,PAM4,18,True,EADEN+Top50,1.0,0.025
