mod,snr,scenario,crc_pass_rate,ber,amc_acc
BPSK,18,Clean,1.0,0.0,-1
BPSK,18,CW,1.0,0.0,-1
BPSK,18,CW+AMC,0.27,0.351429,-1
BPSK,18,CW+Top10,1.0,0.0,-1
BPSK,18,CW+Top10+AMC,0.015,0.443214,0.0
BPSK,18,Clean+Top10,0.99,0.0025,-1
BPSK,18,CW+Top20,1.0,0.0,-1
BPSK,18,CW+Top20+AMC,0.06,0.4625,0.035
BPSK,18,Clean+Top20,1.0,0.0,-1
BPSK,18,CW+Top50,1.0,0.0,-1
BPSK,18,CW+Top50+AMC,0.11,0.432143,0.1
BPSK,18,Clean+Top50,1.0,0.0,-1
QPSK,18,Clean,1.0,0.0,-1
QPSK,18,CW,1.0,0.0,-1
QPSK,18,CW+AMC,0.01,0.475179,-1
QPSK,18,CW+Top10,0.75,0.011964,-1
QPSK,18,CW+Top10+AMC,0.0,0.494286,0.0
QPSK,18,Clean+Top10,0.785,0.009286,-1
QPSK,18,CW+Top20,1.0,0.0,-1
QPSK,18,CW+Top20+AMC,0.01,0.523393,0.005
QPSK,18,Clean+Top20,1.0,0.0,-1
QPSK,18,CW+Top50,1.0,0.0,-1
QPSK,18,CW+Top50+AMC,0.02,0.516429,0.01
QPSK,18,Clean+Top50,1.0,0.0,-1
8PSK,18,Clean,1.0,0.0,-1
8PSK,18,CW,1.0,0.0,-1
8PSK,18,CW+AMC,0.01,0.506667,-1
8PSK,18,CW+Top10,0.075,0.078929,-1
8PSK,18,CW+Top10+AMC,0.0,0.487857,0.0
8PSK,18,Clean+Top10,0.09,0.077381,-1
8PSK,18,CW+Top20,0.995,0.000119,-1
8PSK,18,CW+Top20+AMC,0.0,0.508155,0.0
8PSK,18,Clean+Top20,1.0,0.0,-1
8PSK,18,CW+Top50,1.0,0.0,-1
8PSK,18,CW+Top50+AMC,0.005,0.503929,0.0
8PSK,18,Clean+Top50,1.0,0.0,-1
QAM16,18,Clean,1.0,0.0,-1
QAM16,18,CW,1.0,0.0,-1
QAM16,18,CW+AMC,0.01,0.474673,-1
QAM16,18,CW+Top10,0.01,0.13625,-1
QAM16,18,CW+Top10+AMC,0.0,0.220893,0.7
QAM16,18,Clean+Top10,0.01,0.136964,-1
QAM16,18,CW+Top20,0.895,0.003661,-1
QAM16,18,CW+Top20+AMC,0.24,0.362232,0.255
QAM16,18,Clean+Top20,0.92,0.003482,-1
QAM16,18,CW+Top50,0.995,8.9e-05,-1
QAM16,18,CW+Top50+AMC,0.23,0.372679,0.23
QAM16,18,Clean+Top50,1.0,0.0,-1
QAM64,18,Clean,0.94,0.001488,-1
QAM64,18,CW,0.8,0.004524,-1
QAM64,18,CW+AMC,0.02,0.46375,-1
QAM64,18,CW+Top10,0.005,0.233631,-1
QAM64,18,CW+Top10+AMC,0.0,0.398482,0.27
QAM64,18,Clean+Top10,0.0,0.23256,-1
QAM64,18,CW+Top20,0.395,0.03506,-1
QAM64,18,CW+Top20+AMC,0.29,0.158274,0.725
QAM64,18,Clean+Top20,0.445,0.031607,-1
QAM64,18,CW+Top50,0.735,0.005714,-1
QAM64,18,CW+Top50+AMC,0.55,0.124881,0.745
QAM64,18,Clean+Top50,0.89,0.002679,-1
PAM4,18,Clean,1.0,0.0,-1
PAM4,18,CW,0.88,0.00625,-1
PAM4,18,CW+AMC,0.035,0.462679,-1
PAM4,18,CW+Top10,0.08,0.128929,-1
PAM4,18,CW+Top10+AMC,0.08,0.153036,0.875
PAM4,18,Clean+Top10,0.075,0.118214,-1
PAM4,18,CW+Top20,0.82,0.010179,-1
PAM4,18,CW+Top20+AMC,0.805,0.015714,0.98
PAM4,18,Clean+Top20,0.995,0.000179,-1
PAM4,18,CW+Top50,0.885,0.006429,-1
PAM4,18,CW+Top50+AMC,0.87,0.011786,0.985
PAM4,18,Clean+Top50,1.0,0.0,-1
