mod,snr,clean_amc_acc,cw_adv_acc,cw_asr,cw_l2_mean
BPSK,18,0.988,0.268,0.732,0.007417
BPSK,12,0.992,0.276,0.724,0.007338
BPSK,6,0.988,0.132,0.868,0.009179
BPSK,0,0.986,0.008,0.992,0.008656
QPSK,18,0.982,0.01,0.99,0.006849
QPSK,12,0.992,0.014,0.986,0.007015
QPSK,6,0.98,0.008,0.992,0.006782
QPSK,0,0.97,0.004,0.996,0.004453
8PSK,18,0.99,0.01,0.99,0.004687
8PSK,12,0.986,0.002,0.998,0.004721
8PSK,6,0.994,0.006,0.994,0.00476
8PSK,0,0.956,0.01,0.99,0.003467
QAM16,18,0.96,0.012,0.988,0.002443
QAM16,12,0.958,0.008,0.992,0.002413
QAM16,6,0.942,0.016,0.984,0.002428
QAM16,0,0.912,0.01,0.99,0.001978
QAM64,18,0.934,0.016,0.984,0.002938
QAM64,12,0.938,0.02,0.98,0.003189
QAM64,6,0.944,0.016,0.984,0.003065
QAM64,0,0.936,0.012,0.988,0.002729
PAM4,18,0.994,0.02,0.98,0.015067
PAM4,12,0.996,0.028,0.972,0.014369
PAM4,6,0.992,0.018,0.982,0.014348
PAM4,0,0.992,0.022,0.978,0.01372
CPFSK,18,1.0,0.104,0.896,0.011458
CPFSK,12,1.0,0.09,0.91,0.011618
CPFSK,6,1.0,0.038,0.962,0.011536
CPFSK,0,1.0,0.004,0.996,0.008183
GFSK,18,1.0,0.002,0.998,0.004824
GFSK,12,1.0,0.004,0.996,0.004822
GFSK,6,1.0,0.002,0.998,0.004363
GFSK,0,0.974,0.108,0.892,0.004904
