mod,snr,scenario,crc_pass_rate
BPSK,18,Clean+Oracle,1.0
BPSK,18,Clean+AMC,0.975
BPSK,18,Adv+Oracle,1.0
BPSK,18,Adv+AMC,0.285
BPSK,12,Clean+Oracle,1.0
BPSK,12,Clean+AMC,0.995
BPSK,12,Adv+Oracle,1.0
BPSK,12,Adv+AMC,0.28
BPSK,6,Clean+Oracle,1.0
BPSK,6,Clean+AMC,0.98
BPSK,6,Adv+Oracle,1.0
BPSK,6,Adv+AMC,0.12
BPSK,0,Clean+Oracle,0.995
BPSK,0,Clean+AMC,0.985
BPSK,0,Adv+Oracle,1.0
BPSK,0,Adv+AMC,0.015
QPSK,18,Clean+Oracle,1.0
QPSK,18,Clean+AMC,0.995
QPSK,18,Adv+Oracle,1.0
QPSK,18,Adv+AMC,0.005
QPSK,12,Clean+Oracle,1.0
QPSK,12,Clean+AMC,0.99
QPSK,12,Adv+Oracle,1.0
QPSK,12,Adv+AMC,0.015
QPSK,6,Clean+Oracle,1.0
QPSK,6,Clean+AMC,0.995
QPSK,6,Adv+Oracle,1.0
QPSK,6,Adv+AMC,0.025
QPSK,0,Clean+Oracle,0.76
QPSK,0,Clean+AMC,0.74
QPSK,0,Adv+Oracle,0.74
QPSK,0,Adv+AMC,0.01
8PSK,18,Clean+Oracle,1.0
8PSK,18,Clean+AMC,0.995
8PSK,18,Adv+Oracle,1.0
8PSK,18,Adv+AMC,0.015
8PSK,12,Clean+Oracle,1.0
8PSK,12,Clean+AMC,0.985
8PSK,12,Adv+Oracle,1.0
8PSK,12,Adv+AMC,0.005
8PSK,6,Clean+Oracle,0.785
8PSK,6,Clean+AMC,0.785
8PSK,6,Adv+Oracle,0.75
8PSK,6,Adv+AMC,0.01
8PSK,0,Clean+Oracle,0.045
8PSK,0,Clean+AMC,0.045
8PSK,0,Adv+Oracle,0.045
8PSK,0,Adv+AMC,0.005
QAM16,18,Clean+Oracle,1.0
QAM16,18,Clean+AMC,0.975
QAM16,18,Adv+Oracle,1.0
QAM16,18,Adv+AMC,0.01
QAM16,12,Clean+Oracle,0.965
QAM16,12,Clean+AMC,0.905
QAM16,12,Adv+Oracle,0.965
QAM16,12,Adv+AMC,0.005
QAM16,6,Clean+Oracle,0.405
QAM16,6,Clean+AMC,0.395
QAM16,6,Adv+Oracle,0.4
QAM16,6,Adv+AMC,0.005
QAM16,0,Clean+Oracle,0.0
QAM16,0,Clean+AMC,0.0
QAM16,0,Adv+Oracle,0.0
QAM16,0,Adv+AMC,0.0
QAM64,18,Clean+Oracle,0.94
QAM64,18,Clean+AMC,0.875
QAM64,18,Adv+Oracle,0.725
QAM64,18,Adv+AMC,0.025
QAM64,12,Clean+Oracle,0.325
QAM64,12,Clean+AMC,0.315
QAM64,12,Adv+Oracle,0.19
QAM64,12,Adv+AMC,0.005
QAM64,6,Clean+Oracle,0.0
QAM64,6,Clean+AMC,0.0
QAM64,6,Adv+Oracle,0.01
QAM64,6,Adv+AMC,0.0
QAM64,0,Clean+Oracle,0.005
QAM64,0,Clean+AMC,0.005
QAM64,0,Adv+Oracle,0.0
QAM64,0,Adv+AMC,0.0
PAM4,18,Clean+Oracle,1.0
PAM4,18,Clean+AMC,0.99
PAM4,18,Adv+Oracle,0.795
PAM4,18,Adv+AMC,0.01
PAM4,12,Clean+Oracle,1.0
PAM4,12,Clean+AMC,1.0
PAM4,12,Adv+Oracle,0.81
PAM4,12,Adv+AMC,0.03
PAM4,6,Clean+Oracle,0.935
PAM4,6,Clean+AMC,0.925
PAM4,6,Adv+Oracle,0.715
PAM4,6,Adv+AMC,0.025
PAM4,0,Clean+Oracle,0.255
PAM4,0,Clean+AMC,0.255
PAM4,0,Adv+Oracle,0.165
PAM4,0,Adv+AMC,0.01
CPFSK,18,Clean+Oracle,1.0
CPFSK,18,Clean+AMC,1.0
CPFSK,18,Adv+Oracle,1.0
CPFSK,18,Adv+AMC,0.105
CPFSK,12,Clean+Oracle,0.99
CPFSK,12,Clean+AMC,0.99
CPFSK,12,Adv+Oracle,0.99
CPFSK,12,Adv+AMC,0.065
CPFSK,6,Clean+Oracle,0.68
CPFSK,6,Clean+AMC,0.68
CPFSK,6,Adv+Oracle,0.68
CPFSK,6,Adv+AMC,0.015
CPFSK,0,Clean+Oracle,0.045
CPFSK,0,Clean+AMC,0.045
CPFSK,0,Adv+Oracle,0.045
CPFSK,0,Adv+AMC,0.0
GFSK,18,Clean+Oracle,0.995
GFSK,18,Clean+AMC,0.995
GFSK,18,Adv+Oracle,0.995
GFSK,18,Adv+AMC,0.0
GFSK,12,Clean+Oracle,0.93
GFSK,12,Clean+AMC,0.93
GFSK,12,Adv+Oracle,0.93
GFSK,12,Adv+AMC,0.005
GFSK,6,Clean+Oracle,0.445
GFSK,6,Clean+AMC,0.445
GFSK,6,Adv+Oracle,0.445
GFSK,6,Adv+AMC,0.0
GFSK,0,Clean+Oracle,0.035
GFSK,0,Clean+AMC,0.035
GFSK,0,Adv+Oracle,0.035
GFSK,0,Adv+AMC,0.005
