mod,snr,adv_amc_crc,equivalent_snr_drop_db
BPSK,18,0.285,28
BPSK,12,0.28,20
BPSK,6,0.12,20
BPSK,0,0.015,12
QPSK,18,0.005,28
QPSK,12,0.015,20
QPSK,6,0.025,12
QPSK,0,0.01,6
8PSK,18,0.015,20
8PSK,12,0.005,12
8PSK,6,0.01,6
8PSK,0,0.005,3
QAM16,18,0.01,15
QAM16,12,0.005,12
QAM16,6,0.005,6
QAM16,0,0.0,0
QAM64,18,0.025,9
QAM64,12,0.005,3
QAM64,6,0.0,0
QAM64,0,0.0,0
PAM4,18,0.01,20
PAM4,12,0.03,15
PAM4,6,0.025,9
PAM4,0,0.01,3
CPFSK,18,0.105,20
CPFSK,12,0.065,12
CPFSK,6,0.015,9
CPFSK,0,0.0,3
GFSK,18,0.0,28
GFSK,12,0.005,12
GFSK,6,0.0,9
GFSK,0,0.005,0
