mod,snr,scenario,ber
BPSK,0,Clean+Oracle,0.0
BPSK,0,Clean+AMC,0.003214
BPSK,0,Adv+Oracle,0.0
BPSK,0,Adv+AMC,0.476786
QPSK,0,Clean+Oracle,0.011786
QPSK,0,Clean+AMC,0.025714
QPSK,0,Adv+Oracle,0.009643
QPSK,0,Adv+AMC,0.476429
8PSK,0,Clean+Oracle,0.069762
8PSK,0,Clean+AMC,0.096131
8PSK,0,Adv+Oracle,0.072024
8PSK,0,Adv+AMC,0.492143
QAM16,0,Clean+Oracle,0.131786
QAM16,0,Clean+AMC,0.152054
QAM16,0,Adv+Oracle,0.132411
QAM16,0,Adv+AMC,0.48875
QAM64,0,Clean+Oracle,0.230714
QAM64,0,Clean+AMC,0.24006
QAM64,0,Adv+Oracle,0.229821
QAM64,0,Adv+AMC,0.470298
PAM4,0,Clean+Oracle,0.07
PAM4,0,Clean+AMC,0.06875
PAM4,0,Adv+Oracle,0.088214
PAM4,0,Adv+AMC,0.482679
CPFSK,0,Clean+Oracle,0.263214
CPFSK,0,Clean+AMC,0.263214
CPFSK,0,Adv+Oracle,0.263214
CPFSK,0,Adv+AMC,0.451071
GFSK,0,Clean+Oracle,0.29
GFSK,0,Clean+AMC,0.283571
GFSK,0,Adv+Oracle,0.29
GFSK,0,Adv+AMC,0.061071
