mod,snr,jammer_power_db,jammer_crc
BPSK,0,0,1.0
BPSK,0,3,1.0
BPSK,0,6,1.0
BPSK,0,9,1.0
BPSK,0,12,1.0
BPSK,0,15,1.0
QPSK,0,0,0.775
QPSK,0,3,0.775
QPSK,0,6,0.775
QPSK,0,9,0.775
QPSK,0,12,0.775
QPSK,0,15,0.775
8PSK,0,0,0.06
8PSK,0,3,0.06
8PSK,0,6,0.06
8PSK,0,9,0.06
8PSK,0,12,0.06
8PSK,0,15,0.06
QAM16,0,0,0.0
QAM16,0,3,0.0
QAM16,0,6,0.0
QAM16,0,9,0.0
QAM16,0,12,0.0
QAM16,0,15,0.0
QAM64,0,0,0.01
QAM64,0,3,0.01
QAM64,0,6,0.01
QAM64,0,9,0.01
QAM64,0,12,0.01
QAM64,0,15,0.01
PAM4,0,0,0.255
PAM4,0,3,0.255
PAM4,0,6,0.255
PAM4,0,9,0.255
PAM4,0,12,0.255
PAM4,0,15,0.255
CPFSK,0,0,0.025
CPFSK,0,3,0.09
CPFSK,0,6,0.05
CPFSK,0,9,0.075
CPFSK,0,12,0.075
CPFSK,0,15,0.105
GFSK,0,0,0.035
GFSK,0,3,0.06
GFSK,0,6,0.06
GFSK,0,9,0.055
GFSK,0,12,0.045
GFSK,0,15,0.07
