mod,snr,scenario,ser
BPSK,0,Clean+Oracle,0.0
BPSK,0,Clean+AMC,None
BPSK,0,Adv+Oracle,0.0
BPSK,0,Adv+AMC,None
QPSK,0,Clean+Oracle,0.020625
QPSK,0,Clean+AMC,None
QPSK,0,Adv+Oracle,0.016875
QPSK,0,Adv+AMC,None
8PSK,0,Clean+Oracle,0.182812
8PSK,0,Clean+AMC,None
8PSK,0,Adv+Oracle,0.188438
8PSK,0,Adv+AMC,None
QAM16,0,Clean+Oracle,0.39
QAM16,0,Clean+AMC,None
QAM16,0,Adv+Oracle,0.39
QAM16,0,Adv+AMC,None
QAM64,0,Clean+Oracle,0.733437
QAM64,0,Clean+AMC,None
QAM64,0,Adv+Oracle,0.731875
QAM64,0,Adv+AMC,None
PAM4,0,Clean+Oracle,0.119688
PAM4,0,Clean+AMC,None
PAM4,0,Adv+Oracle,0.152812
PAM4,0,Adv+AMC,None
CPFSK,0,Clean+Oracle,None
CPFSK,0,Clean+AMC,None
CPFSK,0,Adv+Oracle,None
CPFSK,0,Adv+AMC,None
GFSK,0,Clean+Oracle,None
GFSK,0,Clean+AMC,None
GFSK,0,Adv+Oracle,None
GFSK,0,Adv+AMC,None
