mod,snr,scenario,ber
BPSK,14,Clean+Oracle,0.0
BPSK,14,Clean+AMC,0.007143
BPSK,14,Adv+Oracle,0.0
BPSK,14,Adv+AMC,0.327857
QPSK,14,Clean+Oracle,0.0
QPSK,14,Clean+AMC,0.0
QPSK,14,Adv+Oracle,0.0
QPSK,14,Adv+AMC,0.451071
8PSK,14,Clean+Oracle,0.0
8PSK,14,Clean+AMC,0.0
8PSK,14,Adv+Oracle,0.0
8PSK,14,Adv+AMC,0.507202
QAM16,14,Clean+Oracle,0.0
QAM16,14,Clean+AMC,0.014643
QAM16,14,Adv+Oracle,8.9e-05
QAM16,14,Adv+AMC,0.459792
QAM64,14,Clean+Oracle,0.011726
QAM64,14,Clean+AMC,0.018899
QAM64,14,Adv+Oracle,0.01869
QAM64,14,Adv+AMC,0.476994
PAM4,14,Clean+Oracle,0.0
PAM4,14,Clean+AMC,0.0
PAM4,14,Adv+Oracle,0.008571
PAM4,14,Adv+AMC,0.483393
CPFSK,14,Clean+Oracle,0.0
CPFSK,14,Clean+AMC,0.0
CPFSK,14,Adv+Oracle,0.0
CPFSK,14,Adv+AMC,0.450714
GFSK,14,Clean+Oracle,0.002857
GFSK,14,Clean+AMC,0.002857
GFSK,14,Adv+Oracle,0.002857
GFSK,14,Adv+AMC,0.0
