mod,snr,scenario,crc_pass_rate
BPSK,14,Clean+Oracle,1.0
BPSK,14,Clean+AMC,0.97
BPSK,14,Adv+Oracle,1.0
BPSK,14,Adv+AMC,0.29
QPSK,14,Clean+Oracle,1.0
QPSK,14,Clean+AMC,0.98
QPSK,14,Adv+Oracle,1.0
QPSK,14,Adv+AMC,0.01
8PSK,14,Clean+Oracle,1.0
8PSK,14,Clean+AMC,0.975
8PSK,14,Adv+Oracle,1.0
8PSK,14,Adv+AMC,0.005
QAM16,14,Clean+Oracle,1.0
QAM16,14,Clean+AMC,0.945
QAM16,14,Adv+Oracle,0.995
QAM16,14,Adv+AMC,0.02
QAM64,14,Clean+Oracle,0.62
QAM64,14,Clean+AMC,0.605
QAM64,14,Adv+Oracle,0.445
QAM64,14,Adv+AMC,0.0
PAM4,14,Clean+Oracle,1.0
PAM4,14,Clean+AMC,0.99
PAM4,14,Adv+Oracle,0.845
PAM4,14,Adv+AMC,0.03
CPFSK,14,Clean+Oracle,1.0
CPFSK,14,Clean+AMC,1.0
CPFSK,14,Adv+Oracle,1.0
CPFSK,14,Adv+AMC,0.075
GFSK,14,Clean+Oracle,0.965
GFSK,14,Clean+AMC,0.965
GFSK,14,Adv+Oracle,0.965
GFSK,14,Adv+AMC,0.005
