mod,snr,jammer_power_db,jammer_crc
BPSK,14,0,1.0
BPSK,14,3,1.0
BPSK,14,6,1.0
BPSK,14,9,1.0
BPSK,14,12,1.0
BPSK,14,15,1.0
QPSK,14,0,1.0
QPSK,14,3,1.0
QPSK,14,6,1.0
QPSK,14,9,1.0
QPSK,14,12,1.0
QPSK,14,15,1.0
8PSK,14,0,1.0
8PSK,14,3,1.0
8PSK,14,6,1.0
8PSK,14,9,1.0
8PSK,14,12,1.0
8PSK,14,15,1.0
QAM16,14,0,1.0
QAM16,14,3,1.0
QAM16,14,6,1.0
QAM16,14,9,1.0
QAM16,14,12,1.0
QAM16,14,15,1.0
QAM64,14,0,0.62
QAM64,14,3,0.62
QAM64,14,6,0.62
QAM64,14,9,0.62
QAM64,14,12,0.62
QAM64,14,15,0.62
PAM4,14,0,1.0
PAM4,14,3,1.0
PAM4,14,6,1.0
PAM4,14,9,1.0
PAM4,14,12,1.0
PAM4,14,15,1.0
CPFSK,14,0,0.035
CPFSK,14,3,0.055
CPFSK,14,6,0.06
CPFSK,14,9,0.08
CPFSK,14,12,0.075
CPFSK,14,15,0.08
GFSK,14,0,0.035
GFSK,14,3,0.065
GFSK,14,6,0.05
GFSK,14,9,0.08
GFSK,14,12,0.07
GFSK,14,15,0.045
