mod,snr,scenario,ser
BPSK,14,Clean+Oracle,0.0
BPSK,14,Clean+AMC,None
BPSK,14,Adv+Oracle,0.0
BPSK,14,Adv+AMC,None
QPSK,14,Clean+Oracle,0.0
QPSK,14,Clean+AMC,None
QPSK,14,Adv+Oracle,0.0
QPSK,14,Adv+AMC,None
8PSK,14,Clean+Oracle,0.0
8PSK,14,Clean+AMC,None
8PSK,14,Adv+Oracle,0.0
8PSK,14,Adv+AMC,None
QAM16,14,Clean+Oracle,0.0
QAM16,14,Clean+AMC,None
QAM16,14,Adv+Oracle,0.000313
QAM16,14,Adv+AMC,None
QAM64,14,Clean+Oracle,0.058125
QAM64,14,Clean+AMC,None
QAM64,14,Adv+Oracle,0.088125
QAM64,14,Adv+AMC,None
PAM4,14,Clean+Oracle,0.0
PAM4,14,Clean+AMC,None
PAM4,14,Adv+Oracle,0.015
PAM4,14,Adv+AMC,None
CPFSK,14,Clean+Oracle,None
CPFSK,14,Clean+AMC,None
CPFSK,14,Adv+Oracle,None
CPFSK,14,Adv+AMC,None
GFSK,14,Clean+Oracle,None
GFSK,14,Clean+AMC,None
GFSK,14,Adv+Oracle,None
GFSK,14,Adv+AMC,None
