norm,mod,n,no_def,adaptive_k,spectral_gated,v2_fixed,v2_snr
paper,QAM16,50,0.0,42.0,32.0,32.0,34.0
paper,QAM64,50,0.0,80.0,90.0,90.0,90.0
paper,8PSK,50,0.0,36.0,30.0,30.0,34.0
paper,WBFM,50,4.0,30.0,30.0,34.0,32.0
paper,BPSK,50,16.0,56.00000000000001,56.00000000000001,56.00000000000001,56.00000000000001
paper,CPFSK,50,44.0,72.0,66.0,66.0,78.0
paper,AM-DSB,50,4.0,98.0,57.99999999999999,94.0,98.0
paper,GFSK,50,0.0,76.0,86.0,82.0,84.0
paper,PAM4,50,6.0,74.0,94.0,94.0,82.0
paper,QPSK,50,0.0,70.0,68.0,68.0,76.0
paper,AM-SSB,50,48.0,48.0,94.0,94.0,94.0
paper,Overall,550,11.090909090909092,62.0,64.0,67.27272727272727,68.9090909090909
minmax,QAM16,50,0.0,50.0,36.0,36.0,46.0
minmax,QAM64,50,0.0,82.0,90.0,90.0,90.0
minmax,8PSK,50,2.0,36.0,34.0,34.0,34.0
minmax,WBFM,50,16.0,30.0,34.0,36.0,32.0
minmax,BPSK,50,40.0,64.0,64.0,64.0,64.0
minmax,CPFSK,50,64.0,78.0,76.0,76.0,88.0
minmax,AM-DSB,50,32.0,96.0,78.0,92.0,96.0
minmax,GFSK,50,24.0,86.0,90.0,88.0,90.0
minmax,PAM4,50,30.0,80.0,96.0,96.0,88.0
minmax,QPSK,50,38.0,80.0,80.0,80.0,86.0
minmax,AM-SSB,50,54.0,54.0,94.0,94.0,94.0
minmax,Overall,550,27.27272727272727,66.9090909090909,70.18181818181817,71.45454545454545,73.45454545454545
